"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"3P2CT35Z","webpage","","","Passing the Privacy Test as Student Data Laws Take Effect (EdSurge News)","EdSurge","","","","https://www.edsurge.com/news/2016-01-12-passing-the-privacy-test-as-student-data-laws-take-effect","On January 1, 2016, “ 	SOPIPA”—the recently passed California student data privacy law that defines how edtech companies can use student data became effective. About 25 other states have passed similar laws that are already in effect, or will become effective.  At the same time, more than 200 sc","","2016-12-21 18:18:55","2016-12-21 18:18:55","2016-12-19 20:38:44","","","","","","","","","","","","","","","","","","","","","","","C:\Users\Josh\AppData\Roaming\Zotero\Zotero\Profiles\v5jeaqhe.default\zotero\storage\CZTNGDNM\2016-01-12-passing-the-privacy-test-as-student-data-laws-take-effect.html; C:\Users\Josh\AppData\Roaming\Zotero\Zotero\Profiles\v5jeaqhe.default\zotero\storage\TDMSRXKZ\2016-01-12-passing-the-privacy-test-as-student-data-laws-take-effect.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3VQV5F7C","blogPost","2013","","Chicken or the Egg? Granger-Causality for the masses","R-bloggers","","","","https://www.r-bloggers.com/chicken-or-the-egg-granger-causality-for-the-masses/","<div><br></div> <div><span>When I first learned about Granger-causality this past February, I was bemused and quite skeptical of the whole procedure.&nbsp; I felt it belonged on the scrapheap of impractical academic endeavors, preferring to possibly use an ARIMA transfer function model for the same task.&nbsp; However, several contemporaries threw the red challenge flag and upon further review, my initial impressions have been overturned.&nbsp;&nbsp; Not only am I fascinated by the technique, in my attempt to discover its value I have became a raving R fan.&nbsp; As such, my first blog entry is to provide some simple code to allow anyone to utilize this obscure econometric technique, but first some background.<p></p></span></div> <div><span>Given two sets of time series data, x and y, granger-causality is a method which attempts to determine whether one series is likely to influence change in the other. This is accomplished by taking different lags of one series and using that to model the change in the second series. We create two models which predict y, one with only past values of y (&Omega;), and the other with past values of y and x (&pi;). The models are given below where k is the number of lags in the time series:<p></p></span></div> <div><br></div> <div> <span>Let &Omega; = y<sub>t</sub> = &beta;<sub>0</sub> + &beta;<sub>1</sub>y<sub>t-1</sub> +&hellip;+ &beta;<sub>k</sub>y<sub>t-k </sub>+ </span><span>e</span><span><p></p></span> </div> <div><br></div> <div> <span>And &pi; = y<sub>t</sub> = &beta;<sub>0</sub> + &beta;<sub>1</sub>y<sub>t-1</sub> +&hellip;+ &beta;<sub>k</sub>y<sub>t-k </sub>+ &alpha;<sub>1</sub>x<sub>t-1</sub> +&hellip;+ &alpha;<sub>k</sub>x<sub>t-k</sub> + </span><span>e</span><span><p></p></span> </div> <div><br></div> <div><span>The residual sums of squared errors are then compared and a test is used to determine whether the nested model (&Omega;) is adequate to explain the future values of y or if the full model (&pi;) is better. The F-test, t-test or Wald test (used in R) are calculated to test the following null and alternate hypotheses:<p></p></span></div> <div><br></div> <div><span>H<sub>0</sub>:&nbsp; &alpha;<sub>i</sub> = 0 for each i of the element [1,k]<p></p></span></div> <div><span>H<sub>1</sub>: &alpha;<sub>i</sub> &ne; 0 for at least 1 i of the element [1,k]<p></p></span></div> <div><br></div> <div><span>Essentially, we are trying to determine whether we can say that statistically x provides more information about future values of y than past values of y alone. Under this definition it is clear that we are not trying to prove actual causation, only that the two values are related by some phenomenon.&nbsp; Along those lines, we must also run this model in reverse to verify that that y does not provide information about future values of x. If we find that this is the case, it is likely that there is some exogenous variable, z, which needs to be controlled or could be a better candidate for granger causation.&nbsp; <p></p></span></div> <div><span>For a detailed explanation, one can read the original paper on the subject:<p></p></span></div> <div><span>Granger, Clive W., &ldquo;Investigating Causal Relations by Econometric Models and Cross-Spectral Methods&rdquo;, <i>Econometrica, </i>37(1969): 424-38<p></p></span></div> <div><span>The R package &ldquo;lmtest&rdquo; incorporates the granger causality procedure, including a data set to answer the age old question of what came first, &ldquo;the chicken or the egg&rdquo;.&nbsp; The data was presented by Walter Thurman and Mark Fisher in the American Journal of Agricultural Economics, May 1988, titled &ldquo;Chickens, Eggs, and Causality, or Which Came First?&rdquo;&nbsp; It consists of two time series from 1930 to 1983, one of U.S. egg production and the other the estimated U.S. chicken population.<a href=""http://www.blogger.com/blogger.g?blogID=1476380772205204590"" name=""_GoBack""></a><p></p></span></div> <div><span>Let's get some code going, first loading the data from a saved .csv file.<p></p></span></div> <div><span>&gt; chickegg &lt;- read.csv(file.choose())<p></p></span></div> <div><span>&gt; head(chickegg)<p></p></span></div> <div><span>&nbsp; Year chicken&nbsp; egg<p></p></span></div> <div><span>1 1930&nbsp; 468491 3581<p></p></span></div> <div><span>2 1931&nbsp; 449743 3532<p></p></span></div> <div><span>3 1932&nbsp; 436815 3327<p></p></span></div> <div><span>4 1933&nbsp; 444523 3255<p></p></span></div> <div><span>5 1934 &nbsp;433937 3156<p></p></span></div> <div><span>6 1935&nbsp; 389958 3081<p></p></span></div> <div><span>&gt; attach(chickegg)<p></p></span></div> <div><span>&gt; # plot the time series<p></p></span></div> <div><span>&gt; par(mfrow=c(2,1))<p></p></span></div> <div><span>&gt; plot.ts(chicken)<p></p></span></div> <div><span>&gt; plot.ts(egg)<p></p></span></div> <div><br></div> <div></div> <br><div><a href=""http://3.bp.blogspot.com/-1Gtzau_3n1c/UawDMbtg02I/AAAAAAAAAAo/ZZzZ1H4edng/s1600/Picture1.png""><img border=""0"" height=""319"" src=""http://3.bp.blogspot.com/-1Gtzau_3n1c/UawDMbtg02I/AAAAAAAAAAo/ZZzZ1H4edng/s320/Picture1.png"" width=""320""></a></div> <div></div> <div><br></div> <div><span>The plots provide little information other than the data is likely not stationary.&nbsp; I've just started using the forecast package, so let's load it and test for what will achieve stationarity.<p></p></span></div> <div><br></div> <div><span>&gt; library(forecast)<p></p></span></div> <div><span>&gt; # test for unit root and number of differences required, you can also test for seasonality with nsdiffs<p></p></span></div> <div><span>&gt; ndiffs(chicken, alpha=0.05, test=c(""kpss""))&nbsp; <p></p></span></div> <div><span>[1] 1<p></p></span></div> <div><span>&gt; ndiffs(egg, alpha=0.05, test=c(""kpss""))<p></p></span></div> <div><span>[1] 1<p></p></span></div> <div><br></div> <div><span>&gt; # differenced time series<p></p></span></div> <div><span>&gt; dchick &lt;- diff(chicken)<p></p></span></div> <div><span>&gt; degg &lt;- diff(egg)<p></p></span></div> <div><br></div> <div><span>&gt; plot.ts(dchick)<p></p></span></div> <div><span>&gt; plot.ts(degg)<p></p></span></div> <div><br></div> <div><span>Much better!<p></p></span></div> <div><a href=""http://1.bp.blogspot.com/-684DEXy_UWQ/UawDOktQQfI/AAAAAAAAAAw/vC2x8euFW2E/s1600/Picture2.png""><img border=""0"" height=""319"" src=""http://1.bp.blogspot.com/-684DEXy_UWQ/UawDOktQQfI/AAAAAAAAAAw/vC2x8euFW2E/s320/Picture2.png"" width=""320""></a></div> <div><br></div> <div><span><br></span></div> <div><span><br></span></div> <div><span><br></span></div> <div><span><br></span></div> <div><span><br></span></div> <div><span><br></span></div> <div><span><br></span></div> <div><span><br></span></div> <div><span><br></span></div> <div><span><br></span></div> <div><span><br></span></div> <div><span><br></span></div> <div><span><br></span></div> <div><span><br></span></div> <div><span><br></span></div> <div><span><br></span></div> <div><span><br></span></div> <div><span>That's pretty standard stuff, but this is where the magic happens!&nbsp; There are several ways to find the optimal lag, which I will skip in the interest of time, but let's say four is the magic number.<p></p></span></div> <div><br></div> <div><span>&gt; # do eggs granger cause chickens? <p></p></span></div> <div><span>&gt; grangertest(dchick ~ degg, order=4)<p></p></span></div> <div><span>Granger causality test<p></p></span></div> <div><br></div> <div><span>Model 1: dchick ~ Lags(dchick, 1:4) + Lags(degg, 1:4)<p></p></span></div> <div><span>Model 2: dchick ~ Lags(dchick, 1:4)<p></p></span></div> <div><span>&nbsp; Res.Df Df&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; F&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;Pr(&gt;F)&nbsp;&nbsp; <p></p></span></div> <div><span>1&nbsp;&nbsp;&nbsp;&nbsp; 40&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <p></p></span></div> <div><span>2&nbsp;&nbsp;&nbsp;&nbsp; 44 &nbsp;&nbsp;-4 &nbsp;&nbsp;4.1762 &nbsp;<b>0.006414</b>**<p></p></span></div> <div><span>---<p></p></span></div> <div><span>Signif. codes:&nbsp; 0 &lsquo;***&rsquo; 0.001 &lsquo;**&rsquo; 0.01 &lsquo;*&rsquo; 0.05 &lsquo;.&rsquo; 0.1 &lsquo; &rsquo; 1<p></p></span></div> <div><br></div> <div><span>Highly significant p-value, but what about the other direction?<p></p></span></div> <div><br></div> <div><span>&gt; # do chickens granger cause eggs, at lag 4?<p></p></span></div> <div><span>&gt; grangertest(degg ~ dchick, order=4)<p></p></span></div> <div><span>Granger causality test<p></p></span></div> <div><br></div> <div><span>Model 1: degg ~ Lags(degg, 1:4) + Lags(dchick, 1:4)<p></p></span></div> <div><span>Model 2: degg ~ Lags(degg, 1:4)<p></p></span></div> <div><span>&nbsp; Res.Df Df&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; F Pr(&gt;F)<p></p></span></div> <div><span>1&nbsp;&nbsp;&nbsp;&nbsp; 40&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <p></p></span></div> <div><span>2&nbsp;&nbsp;&nbsp;&nbsp; 44 -4 0.2817 0.8881<p></p></span></div> <div><br></div> <div><span>It is not significant, so we can say the eggs Granger-Cause chickens!<p></p></span></div> <div><span>This is just the tip of the iceberg, but should be enough to strike up your curiosity and to make you dangerous.&nbsp; I'm working on commodity prices, bond prices and the U.S. stock market, but that is better left for another day.<p></p></span></div> <div><br></div> <div><span>Reference:<p></p></span></div> <div> <span>Thurman W.N. &amp; Fisher M.E. (1988), Chickens, Eggs, and Causality, or Which Came First?,<span>&nbsp;</span><em>American Journal of Agricultural Economics</em>, 237-238.</span><span><p></p></span> </div> <br><div><br></div>","2013-06-02","2016-12-21 18:18:55","2016-12-21 18:18:55","2016-12-21 18:07:57","","","","","","","Chicken or the Egg?","","","","","","","","","","","","","","","","C:\Users\Josh\AppData\Roaming\Zotero\Zotero\Profiles\v5jeaqhe.default\zotero\storage\FHVQU7HD\chicken-or-the-egg-granger-causality-for-the-masses.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42GNZW7M","conferencePaper","2006","Kay, Judy; Maisonneuve, Nicolas; Yacef, Kalina; Reimann, Peter","The Big Five and Visualisations of Team Work Activity","Intelligent Tutoring Systems","","","","http://link.springer.com/chapter/10.1007/11774303_20","We have created a set of novel visualisations of group activity: they mirror activity of individuals and their interactions, based upon readily available authentic data. We evaluated these visualisations in the context of a semester long software development project course. We give a theoretical analysis of the design of our visualizations using the framework from the “Big 5” theory of team work as well as a qualitative study of the visualisations and the students’ reflective reports. We conclude that these visualisations provide a powerful and valuable mirroring role with potential, when well used, to help groups learn to improve their effectiveness.","2006-06-26","2016-12-21 18:18:55","2016-12-21 18:18:55","2016-12-19 20:44:12","197-206","","","","","","","","","","","Springer, Berlin, Heidelberg","","en","","","","","link.springer.com","","DOI: 10.1007/11774303_20","","C:\Users\Josh\AppData\Roaming\Zotero\Zotero\Profiles\v5jeaqhe.default\zotero\storage\VPKFTCZF\chp%3A10.1007%2F11774303_20.pdf; C:\Users\Josh\AppData\Roaming\Zotero\Zotero\Profiles\v5jeaqhe.default\zotero\storage\393WJJH6\Kay et al. - 2006 - The Big Five and Visualisations of Team Work Activ.pdf; C:\Users\Josh\AppData\Roaming\Zotero\Zotero\Profiles\v5jeaqhe.default\zotero\storage\EPCR5ZV8\11774303_20.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","International Conference on Intelligent Tutoring Systems","","","","","","","","","","","","","","",""
"7SBK59U3","book","2008","Cortez, Paulo; Silva, Alice Maria Gonçalves","Using data mining to predict secondary school student performance","","978-90-77381-39-7","","","http://repositorium.sdum.uminho.pt/handle/1822/8024","Although the educational level of the Portuguese population has improved in the last decades, the statistics keep Portugal at Europe’s tail end due to its high student failure rates. In particular, lack of success in the core classes of Mathematics and the Portuguese language is extremely serious. On the other hand, the fields of Business Intelligence (BI)/Data Mining (DM), which aim at extracting high-level knowledge from raw data, offer interesting automated tools that can aid the education domain. The present work intends to approach student achievement in secondary education using BI/DM techniques. Recent real-world data (e.g. student grades, demographic, social and school related features) was collected by using school reports and questionnaires. The two core classes (i.e. Mathematics and Portuguese) were modeled under binary/five-level classification and regression tasks. Also, four DM models (i.e. Decision Trees, Random Forest, Neural Networks and Support Vector Machines) and three input selections (e.g. with and without previous grades) were tested. The results show that a good predictive accuracy can be achieved, provided that the first and/or second school period grades are available. Although student achievement is highly influenced by past evaluations, an explanatory analysis has shown that there are also other relevant features (e.g. number of absences, parent’s job and education, alcohol consumption). As a direct outcome of this research, more efficient student prediction tools can be be developed, improving the quality of education and enhancing school resource management.","2008-04","2016-12-21 18:18:55","2016-12-21 18:18:55","2016-12-19 20:46:03","","","","","","","","","","","","EUROSIS","","eng","openAccess","","","","repositorium.sdum.uminho.pt","","","","C:\Users\Josh\AppData\Roaming\Zotero\Zotero\Profiles\v5jeaqhe.default\zotero\storage\A4JEE44Q\Cortez and Silva - 2008 - Using data mining to predict secondary school stud.pdf; C:\Users\Josh\AppData\Roaming\Zotero\Zotero\Profiles\v5jeaqhe.default\zotero\storage\TIWTBMKG\8024.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"948T2S6B","webpage","","","r - How to statistically compare two time series? - Cross Validated","","","","","http://stats.stackexchange.com/questions/19103/how-to-statistically-compare-two-time-series","","","2016-12-21 18:18:55","2016-12-21 18:18:55","2016-12-21 18:07:50","","","","","","","r - How to statistically compare two time series?","","","","","","","","","","","","","","","","C:\Users\Josh\AppData\Roaming\Zotero\Zotero\Profiles\v5jeaqhe.default\zotero\storage\3NVP7J5S\how-to-statistically-compare-two-time-series.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B9QGF9MQ","webpage","","Zheng, Alice","Evaluating Machine Learning Models - O'Reilly Media","","","","","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","Data science today is a lot like the Wild West: there’s endless opportunity and excitement, but also a lot of chaos and confusion. If you’re new to data science and applied machine learning, evaluating a machine-learning model can seem pretty overwhelming...","","2016-12-21 18:18:55","2016-12-21 18:18:55","2016-12-19 20:46:17","","","","","","","","","","","","","","","","","","","","","","","C:\Users\Josh\AppData\Roaming\Zotero\Zotero\Profiles\v5jeaqhe.default\zotero\storage\DKCRMZN5\evaluating-machine-learning-models.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CC37PFJP","journalArticle","2008","Baker, Ryan S. J. d; Corbett, Albert T.; Roll, Ido; Koedinger, Kenneth R.","Developing a generalizable detector of when students game the system","User Modeling and User-Adapted Interaction","","0924-1868, 1573-1391","10.1007/s11257-007-9045-6","http://link.springer.com/article/10.1007/s11257-007-9045-6","Some students, when working in interactive learning environments, attempt to “game the system”, attempting to succeed in the environment by exploiting properties of the system rather than by learning the material and trying to use that knowledge to answer correctly. In this paper, we present a system that can accurately detect whether a student is gaming the system, within a Cognitive Tutor mathematics curricula. Our detector also distinguishes between two distinct types of gaming which are associated with different learning outcomes. We explore this detector’s generalizability, and find that it transfers successfully to both new students and new tutor lessons.","2008-08-01","2016-12-21 18:18:55","2016-12-21 18:18:55","2016-12-19 20:46:10","287-314","","3","18","","User Model User-Adap Inter","","","","","","","","en","","","","","link.springer.com","","","<p><strong>ABSTRACT</strong></p> <p>Some students, when working in interactive learning environments, attempt to “game the system”, attempting to succeed in the environment by exploiting properties of the system rather than by learning the material and trying to use that<br />knowledge to answer correctly. In this paper, we present a system that can accurately detect whether a student is gaming the system, within a Cognitive Tutor mathematics curricula. Our detector also distinguishes between two distinct types of gaming which are associated with different learning outcomes. We explore this detector’s generalizability, and find that it transfers successfully to both new students and new tutor lessons.</p>","C:\Users\Josh\AppData\Roaming\Zotero\Zotero\Profiles\v5jeaqhe.default\zotero\storage\6GINBN6D\Baker et al. - 2008 - Developing a generalizable detector of when studen.pdf; C:\Users\Josh\AppData\Roaming\Zotero\Zotero\Profiles\v5jeaqhe.default\zotero\storage\D6PDBAE4\s11257-007-9045-6.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DG4QTWGX","blogPost","2015","","How to analyze smartphone sensor data with R and the BreakoutDetection package","R-bloggers","","","","https://www.r-bloggers.com/how-to-analyze-smartphone-sensor-data-with-r-and-the-breakoutdetection-package/","<p>Yesterday, J&ouml;rg has written a <a href=""http://beautifuldata.net/2015/01/data-storytelling-stepwise-abstraction-from-raw-data/"">blog post</a> on Data Storytelling with Smartphone sensor data. Here&rsquo;s a practical approach on how to analyze <a>smartphone sensor data</a> with R. In this example I will be using the accelerometer smartphone data that Datarella provided in its <a href=""http://datarella.com/call-for-data-fiction/"">Data Fiction competition</a>. The dataset shows the acceleration along [...]</p>","2015-01-10","2016-12-21 18:18:55","2016-12-21 18:18:55","2016-12-21 18:08:03","","","","","","","","","","","","","","","","","","","","","","","C:\Users\Josh\AppData\Roaming\Zotero\Zotero\Profiles\v5jeaqhe.default\zotero\storage\Z8A9XD53\how-to-analyze-smartphone-sensor-data-with-r-and-the-breakoutdetection-package.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DZX9BN2K","journalArticle","2015","Konstan, Joseph A.; Walker, J. D.; Brooks, D. Christopher; Brown, Keith; Ekstrand, Michael D.","Teaching Recommender Systems at Large Scale: Evaluation and Lessons Learned from a Hybrid MOOC","ACM Trans. Comput.-Hum. Interact.","","1073-0516","10.1145/2728171","http://doi.acm.org/10.1145/2728171","In the fall of 2013, we offered an open online Introduction to Recommender Systems through Coursera, while simultaneously offering a for-credit version of the course on-campus using the Coursera platform and a flipped classroom instruction model. As the goal of offering this course was to experiment with this type of instruction, we performed extensive evaluation including surveys of demographics, self-assessed skills, and learning intent; we also designed a knowledge-assessment tool specifically for the subject matter in this course, administering it before and after the course to measure learning, and again 5 months later to measure retention. We also tracked students through the course, including separating out students enrolled for credit from those enrolled only for the free, open course. Students had significant knowledge gains across all levels of prior knowledge and across all demographic categories. The main predictor of knowledge gain was effort expended in the course. Students also had significant knowledge retention after the course. Both of these results are limited to the sample of students who chose to complete our knowledge tests. Student completion of the course was hard to predict, with few factors contributing predictive power; the main predictor of completion was intent to complete. Students who chose a concepts-only track with hand exercises achieved the same level of knowledge of recommender systems concepts as those who chose a programming track and its added assignments, though the programming students gained additional programming knowledge. Based on the limited data we were able to gather, face-to-face students performed as well as the online-only students or better; they preferred this format to traditional lecture for reasons ranging from pure convenience to the desire to watch videos at a different pace (slower for English language learners; faster for some native English speakers). This article also includes our qualitative observations, lessons learned, and future directions.","2015-04","2016-12-21 18:18:55","2016-12-21 18:18:55","2016-12-19 20:45:16","10:1–10:23","","2","22","","","Teaching Recommender Systems at Large Scale","","","","","","","","","","","","ACM Digital Library","","","","C:\Users\Josh\AppData\Roaming\Zotero\Zotero\Profiles\v5jeaqhe.default\zotero\storage\7TPVTJA3\Konstan et al. - 2015 - Teaching Recommender Systems at Large Scale Evalu.pdf","","","learning assessment; Massively Online Open Course (MOOC)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N32XA5XI","book","2015","Matsuda, Noboru|Furukawa","Machine Beats Experts: Automatic Discovery of Skill Models for Data-Driven Online Course Refinement","","","","","http://eric.ed.gov/?id=ED560513","How can we automatically determine which skills must be mastered for the successful completion of an online course? Large-scale online courses (e.g., MOOCs) often contain a broad range of contents frequently intended to be a semester's worth of materials; this breadth often makes it difficult to articulate an accurate set of skills and knowledge (i.e., a skill model, or the QMatrix). We have developed an innovative method to discover skill models from the data of online courses. Our method assumes that online courses have a pre-defined skill map for which skills are associated with formative assessment items embedded throughout the online course. Our method carefully exploits correlations between various parts of student performance, as well as in the text of assessment items, to build a superior statistical model that even outperforms human experts. To evaluate our method, we compare our method with existing methods (LFA) and human engineered skill models on three Open Learning Initiative (OLI) courses at Carnegie Mellon University. The results show that (1) our method outperforms human-engineered skill models, (2) skill models discovered by our method are interpretable, and (3) our method is remarkably faster than existing methods. These results suggest that our method provides a significant contribution to the evidence-based, iterative refinement of online courses with a promising scalability. [For complete proceedings, see ED560503.]","2015-06","2016-12-21 18:18:55","2016-12-21 18:18:55","2016-12-19 20:45:42","","","","","","","Machine Beats Experts","","","","","International Educational Data Mining Society","","en","","","","","ERIC","","","","C:\Users\Josh\AppData\Roaming\Zotero\Zotero\Profiles\v5jeaqhe.default\zotero\storage\Z8969ZCW\Matsuda - 2015 - Machine Beats Experts Automatic Discovery of Skil.pdf; C:\Users\Josh\AppData\Roaming\Zotero\Zotero\Profiles\v5jeaqhe.default\zotero\storage\NWJN9WIA\eric.ed.gov.html","","","Automation; Comparative Analysis; correlation; data; Formative Evaluation; Models; Online Courses; Skills","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
