"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"23DS3VDI","journalArticle","2015","Konstan, Joseph A.; Walker, J. D.; Brooks, D. Christopher; Brown, Keith; Ekstrand, Michael D.","Teaching Recommender Systems at Large Scale: Evaluation and Lessons Learned from a Hybrid MOOC","ACM Trans. Comput.-Hum. Interact.","","1073-0516","10.1145/2728171","http://doi.acm.org/10.1145/2728171","","2015-04","2016-12-21 18:38:04","2016-12-21 18:38:04","2016-09-03 20:38:02","10:1–10:23","","2","22","","","Teaching Recommender Systems at Large Scale","","","","","","","","","","","","ACM Digital Library","","","<p><span style=""color: #2e2e2e; font-family: Arial, 'URW Gothic L', Helvetica, Tahoma, sans-serif; font-size: 13.3333px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; orphans: 2; text-align: justify; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; display: inline !important; float: none;"">Note: Did not allow me to view the full document</span></p> <p>&nbsp;</p> <p><span style=""color: #2e2e2e; font-family: Arial, 'URW Gothic L', Helvetica, Tahoma, sans-serif; font-size: 13.3333px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; orphans: 2; text-align: justify; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; display: inline !important; float: none;"">They wanted to analyze student success and engagement with online learning platoforms (MOOC)</span></p> <p><span style=""color: #2e2e2e; font-family: Arial, 'URW Gothic L', Helvetica, Tahoma, sans-serif; font-size: 13.3333px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; orphans: 2; text-align: justify; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; display: inline !important; float: none;"">The performed extensive evaluation including surveys of demographics, self-assessed skills, and learning intent; they also designed a knowledge-assessment tool specifically for the subject matter in this course, administering it before and after the course to measure learning, and again 5 months later to measure retention. We also tracked students through the course, including separating out students enrolled for credit from those enrolled only for the free, open course. </span></p> <p><span style=""color: #2e2e2e; font-family: Arial, 'URW Gothic L', Helvetica, Tahoma, sans-serif; font-size: 13.3333px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; orphans: 2; text-align: justify; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; display: inline !important; float: none;"">Found that: The main predictor of knowledge gain was effort expended in the course. Students also had significant knowledge retention after the course. Both of these results are limited to the sample of students who chose to complete our knowledge tests. </span></p> <p><span style=""color: #2e2e2e; font-family: Arial, 'URW Gothic L', Helvetica, Tahoma, sans-serif; font-size: 13.3333px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; orphans: 2; text-align: justify; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; display: inline !important; float: none;"">Student completion of the course was hard to predict, with few factors contributing predictive power; the main predictor of completion was intent to complete. </span></p> <p><span style=""color: #2e2e2e; font-family: Arial, 'URW Gothic L', Helvetica, Tahoma, sans-serif; font-size: 13.3333px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; orphans: 2; text-align: justify; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; display: inline !important; float: none;"">. face-to-face students performed as well as the online-only students or better; they preferred this format to traditional lecture for reasons ranging from pure convenience to the desire to watch videos at a different pace (slower for English language learners; faster for some native English speakers).</span></p>","","","","learning assessment; Massively Online Open Course (MOOC)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2WQQCP33","journalArticle","2008","Baker, Ryan S. J. d; Corbett, Albert T.; Roll, Ido; Koedinger, Kenneth R.","Developing a generalizable detector of when students game the system","User Modeling and User-Adapted Interaction","","0924-1868, 1573-1391","10.1007/s11257-007-9045-6","http://link.springer.com.ezp-prod1.hul.harvard.edu/article/10.1007/s11257-007-9045-6","Some students, when working in interactive learning environments, attempt to “game the system”, attempting to succeed in the environment by exploiting properties of the system rather than by learning the material and trying to use that knowledge to answer correctly. In this paper, we present a system that can accurately detect whether a student is gaming the system, within a Cognitive Tutor mathematics curricula. Our detector also distinguishes between two distinct types of gaming which are associated with different learning outcomes. We explore this detector’s generalizability, and find that it transfers successfully to both new students and new tutor lessons.","2008-08-01","2016-12-21 18:38:04","2016-12-21 18:38:04","2015-01-16 16:33:56","287-314","","3","18","","User Model User-Adap Inter","","","","","","","","en","","","","","link.springer.com.ezp-prod1.hul.harvard.edu","","","","","http://link.springer.com.ezp-prod1.hul.harvard.edu/article/10.1007/s11257-007-9045-6","","Behavior detection; Cognitive tutors; Education (general); Gaming the system; Generalizable models; Interactive learning environments; Latent response models; Machine learning; Management of Computing and Information Systems; Multimedia Information Systems; student modeling; User Interfaces and Human Computer Interaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32DNBIUC","journalArticle","","Shane, Dawson; Harry, Hubball","Curriculum Analytics: Application of Social Network Analysis for Improving Strategic Curriculum Decision-Making in a Research-Intensive University","","","","","http://www.jstor.org/stable/10.2979/teachlearninqu.2.2.59","This paper provides insight into the use of curriculum analytics to enhance learning-centred curricula in diverse higher education contexts. Engagement in evidence-based practice to evaluate and monitor curricula is vital to the success and sustainability of efforts to reform undergraduate and graduate programs. Emerging technology-enabled inquiry methods have enormous potential to inform evidence-based practice in complex curriculum settings. For example, curriculum analytics, including data from student learning outcomes, graduate qualities, course selection and assessment activities, can be mined from various student learning systems and analysed to inform curriculum renewal strategies and demonstrate impact at both the program and course level. Curriculum analytics can serve to foster a culture of inquiry and scholarship regarding program improvements that is characterised by information sharing within and across disciplinary borders. This paper presents an innovative technology that draws on social network methodologies for assessing and visualising the integration and linkages across individual courses that ultimately form a student's complete program of study. Insights are grounded in the literature and curriculum leadership experiences in a Canadian research-intensive university setting.","","2016-07-27 17:42:26","2016-07-27 17:42:26","","","","","","","","","","","","","","","","","","","","","","","; ","; ; ; ; ; ","; ; ; ; ; ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4VKEIZ6V","videoRecording","2015","Educause","Why Is Measuring Learning So Difficult?","","","","","https://www.youtube.com/watch?v=_iv8A1pHNYA","Several higher education learning and assessment professionals discuss the difficulties of measuring learning.","2015-08-17","2016-09-13 16:10:19","2016-09-13 16:10:19","2016-01-17 18:50:57","","","","","","","","","","","","","","","","","","","YouTube","","","<p>Don't know where a student is startfing from</p> <p>cant measure all the ways that people learn</p> <p>based on proxies, but proxies change based on context noth individual</p> <p>we have to simplify but may throw away the signal and keep the noise</p>","","","","Assessment; Education; educational assessment; EDUCAUSE; Higher Education; learners; Learning; Teaching and learning","","","","","","","","","","","","","","","","","","","","","470 seconds","","","","","","","","","","","","","","","","","","","","","","","","",""
"56SGWFN9","bookSection","2013","Desmarais, Michel C.; Naceur, Rhouma","A Matrix Factorization Method for Mapping Items to Skills and for Enhancing Expert-Based Q-Matrices","Artificial Intelligence in Education","978-3-642-39111-8 978-3-642-39112-5","","","http://link.springer.com/chapter/10.1007/978-3-642-39112-5_45","Uncovering the right skills behind question items is a difficult task. It requires a thorough understanding of the subject matter and of the cognitive factors that determine student performance. The skills definition, and the mapping of item to skills, require the involvement of experts. We investigate means to assist experts for this task by using a data driven, matrix factorization approach. The two mappings of items to skills, the expert on one side and the matrix factorization on the other, are compared in terms of discrepancies, and in terms of their performance when used in a linear model of skills assessment and item outcome prediction. Visual analysis shows a relatively similar pattern between the expert and the factorized mappings, although differences arise. The prediction comparison shows the factorization approach performs slightly better than the original expert Q-matrix, giving supporting evidence to the belief that the factorization mapping is valid. Implications for the use of the factorization to design better item to skills mapping are discussed.","2013-07-09","2016-12-21 18:38:04","2016-12-21 18:38:04","2016-09-03 20:44:11","441-450","","","","","","","","","","","Springer Berlin Heidelberg","","en","©2013 Springer-Verlag Berlin Heidelberg","","","","link.springer.com","","","<ul style=""margin-top: 0pt; margin-bottom: 0pt;""> <li style=""list-style-type: disc; font-size: 14.666666666666666px; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline;"" dir=""ltr""> <p style=""line-height: 1.38; margin-top: 0pt; margin-bottom: 0pt;"" dir=""ltr""><span style=""font-size: 14.666666666666666px; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">Q matrix is a mapping of skills to items - each sill required adds to the chances of success of an item (compensatory skills</span></p> </li> <li style=""list-style-type: disc; font-size: 14.666666666666666px; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline;"" dir=""ltr""> <p style=""line-height: 1.38; margin-top: 0pt; margin-bottom: 0pt;"" dir=""ltr""><span style=""font-size: 14.666666666666666px; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">Conjunctive models - any require skill missing will induce a failure to the item</span></p> </li> <li style=""list-style-type: disc; font-size: 14.666666666666666px; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline;"" dir=""ltr""> <p style=""line-height: 1.38; margin-top: 0pt; margin-bottom: 0pt;"" dir=""ltr""><span style=""font-size: 14.666666666666666px; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">The point of this is to compare an expert defined q-matrix with a data defined q matrix.</span></p> </li> <li style=""list-style-type: disc; font-size: 14.666666666666666px; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline;"" dir=""ltr""> <p style=""line-height: 1.38; margin-top: 0pt; margin-bottom: 0pt;"" dir=""ltr""><span style=""font-size: 14.666666666666666px; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">The prediction comparison shows the factorization approach performs slightly better than the original expert Q-matrix, giving supporting evidence to the belief that the factorization mapping is valid.</span></p> </li> <li style=""list-style-type: disc; font-size: 14.666666666666666px; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline;"" dir=""ltr""><span style=""font-size: 14.666666666666666px; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">An advantage of the comparison between expert Q matricies and factorization method is that, the comparison can help make better the expert Q matrix.</span></li> </ul>","","https://link.springer.com/chapter/10.1007/978-3-642-39112-5_45","","alternating least squares matrix factorization; Artificial Intelligence (incl. Robotics); Cognitive modeling; Computers and Education; Educational Technology; Information Systems Applications (incl. Internet); latent skills; Pedagogic Psychology; skills assessment; Student models; User Interfaces and Human Computer Interaction","Lane, H. Chad; Yacef, Kalina; Mostow, Jack; Pavlik, Philip","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5CQ3R8ZP","journalArticle","2010","Bowers, Alex J.","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis","Practical Assessment, Research & Evaluation","","1531-7714","","","School personnel currently lack an effective method to pattern and visually interpret disaggregated achievement data collected on students as a means to help inform decision making. This study, through the examination of longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188), demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators. Additionally, as a proof-of-concept study, overall schooling outcomes, such as student dropout or taking a college entrance exam, are identified from the data patterns and compared to past methods of dropout identification as one example of the usefulness of the method. Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8. (Contains 5 figures.)","2010-05","2016-09-13 16:10:17","2016-09-13 16:10:17","2014-09-24 19:31:29","","","7","15","","","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students","","","","","","","en","","","","","ERIC","","","","","http://eric.ed.gov/?id=EJ933686","","data; data analysis; Decision Making; Dropouts; Elementary School Students; Grades (Scholastic); Identification; MULTIVARIATE analysis; School Districts; Secondary School Students","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5GQBZPM9","book","2015","Zheng, Alice","Evaluating Machine Learning Models","","","","","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","Data science today is a lot like the Wild West: there’s endless opportunity and excitement, but also a lot of chaos and confusion. If you’re new to data science and applied machine learning, evaluating a machine-learning model can seem pretty overwhelming...","2015-09","2016-12-21 18:38:04","2016-12-21 18:38:04","2015-12-15 18:26:39","","","","","","","","","","","","O'Reily Media","Sebastopol, CA","","","","","","","","","<p style=""line-height: 1.38; margin-top: 0pt; margin-bottom: 11pt;"" dir=""ltr""><span style=""font-size: 15.333333333333332px; font-family: Arial; color: #242729; background-color: #ffffff; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">Start with a training set. Learn models on its and select the best model. Then test that model on a testing set and see how well it does.</span></p> <p style=""line-height: 1.38; margin-top: 0pt; margin-bottom: 11pt;"" dir=""ltr""><span style=""font-size: 15.333333333333332px; font-family: Arial; color: #242729; background-color: #ffffff; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">Limitations: we may not have enough data to make sufficiently large</span><span style=""font-size: 15.333333333333332px; font-family: Arial; color: #242729; background-color: #ffffff; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;""><br class=""kix-line-break"" /></span><span style=""font-size: 15.333333333333332px; font-family: Arial; color: #242729; background-color: #ffffff; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">training and test sets</span><span style=""font-size: 15.333333333333332px; font-family: Arial; color: #242729; background-color: #ffffff; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;""><br class=""kix-line-break"" /></span><span style=""font-size: 15.333333333333332px; font-family: Arial; color: #242729; background-color: #ffffff; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">• a larger test set gives us more reliable estimate of</span><span style=""font-size: 15.333333333333332px; font-family: Arial; color: #242729; background-color: #ffffff; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;""><br class=""kix-line-break"" /></span><span style=""font-size: 15.333333333333332px; font-family: Arial; color: #242729; background-color: #ffffff; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">accuracy (i.e. a lower variance estimate)</span><span style=""font-size: 15.333333333333332px; font-family: Arial; color: #242729; background-color: #ffffff; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;""><br class=""kix-line-break"" /></span><span style=""font-size: 15.333333333333332px; font-family: Arial; color: #242729; background-color: #ffffff; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">• but… a larger training set will be more representative of</span><span style=""font-size: 15.333333333333332px; font-family: Arial; color: #242729; background-color: #ffffff; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;""><br class=""kix-line-break"" /></span><span style=""font-size: 15.333333333333332px; font-family: Arial; color: #242729; background-color: #ffffff; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">how much data we actually have for learning process</span><span style=""font-size: 15.333333333333332px; font-family: Arial; color: #242729; background-color: #ffffff; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;""><br class=""kix-line-break"" /></span><span style=""font-size: 15.333333333333332px; font-family: Arial; color: #242729; background-color: #ffffff; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">• a single training set doesn’t tell us how sensitive accuracy</span><span style=""font-size: 15.333333333333332px; font-family: Arial; color: #242729; background-color: #ffffff; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;""><br class=""kix-line-break"" /></span><span style=""font-size: 15.333333333333332px; font-family: Arial; color: #242729; background-color: #ffffff; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">is to a particular training sample</span></p> <p style=""line-height: 1.38; margin-top: 0pt; margin-bottom: 11pt;"" dir=""ltr""><span style=""font-size: 15.333333333333332px; font-family: Arial; color: #242729; background-color: #ffffff; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">Random resampling of training and testing sets, statefied sampling, leave one out sampling, cross validation, ROC curve, etc all ways to do this </span></p>","","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6E48X8UP","journalArticle","","Lee, Moosung","Bringing the Best of Two Worlds Together for Social Capital Research in Education: Social Network Analysis and Symbolic Interactionism","","","","","http://edr.sagepub.com/content/43/9/454.full.pdf+html","This article proposes an analytical consideration for social capital research in education by exploring a pragmatic combination of social network analysis (SNA) and symbolic interactionism (SI) as a research method. The article first delineates the theoretical linkages of social capital theory with SNA and SI. The article then discusses how SNA and SI can be utilized for social capital research in education by illuminating analytically complementary characteristics between SNA and SI. Based on this, the article argues that such a combined approach could pave a route to explore social capital in an analytically enhanced way","","2016-07-27 17:14:17","2016-07-27 17:14:17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6MIFQNBR","videoRecording","2015","Georgia Tech","Feature Selection","","","","","https://www.youtube.com/watch?v=8CpRLplmdqE","","2015-02-23","2016-12-21 18:38:04","2016-12-21 18:38:04","2016-01-18 19:18:06","","","","","","","","","","","","Youtube","","","","","","","","","","<p style=""line-height: 1.38; margin-top: 0pt; margin-bottom: 11pt;"" dir=""ltr""><span style=""font-size: 15.333333333333332px; font-family: Arial; color: #242729; background-color: #ffffff; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">Feature selection</span></p> <p style=""line-height: 1.38; margin-top: 0pt; margin-bottom: 11pt;"" dir=""ltr""><span style=""font-size: 15.333333333333332px; font-family: Arial; color: #242729; background-color: #ffffff; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">-Knowledge discovery - interpretability and insight Meaning that many features might be what we care about but after using this, what features actually matters that might not be what you thought</span></p> <p style=""line-height: 1.38; margin-top: 0pt; margin-bottom: 11pt;"" dir=""ltr""><span style=""font-size: 15.333333333333332px; font-family: Arial; color: #242729; background-color: #ffffff; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">-Curse of dimensionality - the number of data that you needs grows exponentioally &nbsp;as you add more features. This could be a problem.. Or a curse. </span></p>","","https://www.youtube.com/watch?v=8CpRLplmdqE","","","","","","","","","","","","","","","Udacity","","","","","","","","3:13","","","","","","","","","","","","","","","","","","","","","","","","",""
"6WIED82Z","bookSection","2016","Hanneman, R.A.; Riddle, M.","Chapter 1: Social Network Data","Introduction to Social Network Methods","","","","http://faculty.ucr.edu/~hanneman/nettext/C1_Social_Network_Data.html","","2016-01-18","2016-09-13 16:10:19","2016-09-13 16:10:19","2016-01-18 20:17:24","","","","","","","","","","","","","","","","","","","","","","","","http://faculty.ucr.edu/~hanneman/nettext/C1_Social_Network_Data.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
