"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ABCD2345","webpage","","Center for History and New Media","Zotero Quick Start Guide","","","","","http://zotero.org/support/quick_start_guide","","","2016-09-09 01:00:23","2016-09-09 01:00:23","","","","","","","","","","","","","","","","","","","","","","","<p><strong>Welcome to Zotero!</strong></p><p>View the Quick Start Guide to learn how to begin collecting, managing, citing, and sharing your research sources.</p><p>Thanks for installing Zotero.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66U4A25A","journalArticle","2010","Bowers, Alex J.","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis","Practical Assessment, Research & Evaluation","","1531-7714","","","School personnel currently lack an effective method to pattern and visually interpret disaggregated achievement data collected on students as a means to help inform decision making. This study, through the examination of longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188), demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators. Additionally, as a proof-of-concept study, overall schooling outcomes, such as student dropout or taking a college entrance exam, are identified from the data patterns and compared to past methods of dropout identification as one example of the usefulness of the method. Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8. (Contains 5 figures.)","2010-05","2016-09-13 16:05:30","2016-09-13 16:05:30","2014-09-24 19:31:29","","","7","15","","","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students","","","","","","","en","","","","","ERIC","","","<p>- One way to help visualize the organization of the data by hierarchical clustering is to draw a cluster tree, sometimes referred to as a dendrogram</p> <p>- A cluster tree is generated from the similarity matrix outlined above. For each iteration of the clustering algorithm, a line is drawn in the dendrogram as a graphical representation for each case. For each iteration of the algorithm, the cluster tree “grows” as the first level of clusters is connected to other clusters hierarchically, until the entire dataset is represented as a single cluster.</p> <p>- In the clustergram, the overall z-scored data for each case is unchanged, but is merely reordered for categorization and pattern interpretation based on how similar each case’s data vector is to each other case’s data vector.</p> <p>-&nbsp; x - students</p> <p>&nbsp;&nbsp;&nbsp; Y- subjects</p> <p>&nbsp;&nbsp;&nbsp; z-score</p> <p>&nbsp;&nbsp;&nbsp; results: identification of dropouts</p> <p>&nbsp;</p>","","http://eric.ed.gov/?id=EJ933686","","data; data analysis; Decision Making; Dropouts; Elementary School Students; Grades (Scholastic); Identification; MULTIVARIATE analysis; School Districts; Secondary School Students","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QB24Z62X","journalArticle","2014","Grunspan, Daniel Z.; Wiggins, Benjamin L.; Goodreau, Steven M.","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","CBE-Life Sciences Education","",", 1931-7913","10.1187/cbe.13-08-0162","http://www.lifescied.org/content/13/2/167","Social interactions between students are a major and underexplored part of undergraduate education. Understanding how learning relationships form in undergraduate classrooms, as well as the impacts these relationships have on learning outcomes, can inform educators in unique ways and improve educational reform. Social network analysis (SNA) provides the necessary tool kit for investigating questions involving relational data. We introduce basic concepts in SNA, along with methods for data collection, data processing, and data analysis, using a previously collected example study on an undergraduate biology classroom as a tutorial. We conduct descriptive analyses of the structure of the network of costudying relationships. We explore generative processes that create observed study networks between students and also test for an association between network position and success on exams. We also cover practical issues, such as the unique aspects of human subjects review for network studies. Our aims are to convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data.","2014-06-20","2016-09-13 16:05:31","2016-09-13 16:05:31","2014-08-20 20:21:46","167-178","","2","13","","CBE Life Sci Educ","Understanding Classrooms through Social Network Analysis","","","","","","","en","","","","","www.lifescied.org","","","<p>1. Social Network Basics. SNA aims to understand the determinants, structure, and consequences of relationships between actors. In other words, SNA helps us to understand how relationships form, what kinds of relational structures emerge from the building blocks of individual relationships between pairs of actors, and what, if any, the impacts are of these relationships on actors. Actors, also called nodes, can be individuals, organizations, websites, or any entity that can be connected to other entities. A group of actors and the connections between them make up a network.</p> <ul> <li>Node vertex</li> <li>Link edge&nbsp;(undirected directed reciprocal)</li> </ul> <p>2.Network Types.</p> <ul> <li>unipartite monopartite</li> <li>undirected directed (Indegree/ Outdegree)</li> <li>Ties: binary / valued</li> </ul> <p>3. Network Level :&nbsp; -&gt; social selection/ social influence</p> <ul> <li>Density</li> <li>Homophily</li> </ul> <p>4. Triads (3 nodes)</p> <ul> <li>triad census (2 actural3 possible density =0.67)</li> <li>transitivity</li> </ul> <p>5. Betweenness Centrality</p> <p>&nbsp; the # of the shortest paths from all nodes to all others that pass through that node.</p> <p>6. Force directed graphing</p> <ul> <li>Attractive forces</li> </ul> <p>&nbsp;&nbsp; &nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp; Springs</p> <p>&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; Hooke's Law : F= kX</p> <ul> <li>Repulsive forces</li> </ul> <p>&nbsp;&nbsp; &nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp; Electrons</p> <p>&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; <a href=""http://www.dephi.org"">www.dephi.org</a></p> <p>&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp; <a href=""http://www.lingaro.com"">www.lingaro.com</a></p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;&nbsp;&nbsp;</p> <p>&nbsp;</p>","","http://www.lifescied.org/content/13/2/167","Week 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BMD29UTE","blogPost","2014","Young, Jeffrey R.","Why Students Should Own Their Educational Data","The Chronicle of Higher Education Blogs: Wired Campus","","","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","2014-08-21","2016-09-13 16:05:31","2016-09-13 16:05:31","2014-08-23 21:32:22","","","","","","","","","","","","","","","","","","","","","","<p><span style=""color: #333333; font-family: Heuristica, 'Times New Roman', Times, serif; font-size: 18px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;"">1st Problem is <span style=""color: #333333; font-family: Heuristica, 'Times New Roman', Times, serif; font-size: 18px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;""><span class=""Apple-converted-space"">the </span>shift to a different way where you start by analyzing individual patterns instead of aggregate data.</span></span></p> <p><span style=""color: #333333; font-family: Heuristica, 'Times New Roman', Times, serif; font-size: 18px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;"">2nd: Everyone is trying to innovate in their platform and say, here’s the thing. And there aren’t even interoperability standards or format standards.</span></p> <p><span style=""color: #333333; font-family: Heuristica, 'Times New Roman', Times, serif; font-size: 18px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;"">3rd: <span style=""color: #333333; font-family: Heuristica, 'Times New Roman', Times, serif; font-size: 18px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;"">the real value of the MOOCs so far, is that it’s forced a conversation,<span style=""color: #333333; font-family: Heuristica, 'Times New Roman', Times, serif; font-size: 18px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;"">to ask what’s the value proposition of a four-year education.</span></span> </span></p>","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CHQJ4MU5","journalArticle","1994","Corbett, Albert T.; Anderson, John R.","Knowledge tracing: Modeling the acquisition of procedural knowledge","User Modeling and User-Adapted Interaction","","0924-1868, 1573-1391","10.1007/BF01099821","http://link.springer.com.ezp-prod1.hul.harvard.edu/article/10.1007/BF01099821","This paper describes an effort to model students' changing knowledge state during skill acquisition. Students in this research are learning to write short programs with the ACT Programming Tutor (APT). APT is constructed around a production rule cognitive model of programming knowledge, called theideal student model. This model allows the tutor to solve exercises along with the student and provide assistance as necessary. As the student works, the tutor also maintains an estimate of the probability that the student has learned each of the rules in the ideal model, in a process calledknowledge tracing. The tutor presents an individualized sequence of exercises to the student based on these probability estimates until the student has ‘mastered’ each rule. The programming tutor, cognitive model and learning and performance assumptions are described. A series of studies is reviewed that examine the empirical validity of knowledge tracing and has led to modifications in the process. Currently the model is quite successful in predicting test performance. Further modifications in the modeling process are discussed that may improve performance levels.","1994-12-01","2016-09-13 16:05:31","2016-09-13 16:05:31","2013-04-21 21:21:19","253-278","","4","4","","User Model User-Adap Inter","Knowledge tracing","","","","","","","en","","","","","link.springer.com.ezp-prod1.hul.harvard.edu","","","<p>Can't open while requiring Harvard Key ID</p>","","","","Education (general); empirical validity; individual differences; intelligent tutoring systems; Learning; Management of Computing and Information Systems; mastery learning; Multimedia Information Systems; procedural knowledge; Psychology, general; student modeling; User Interfaces and Human Computer Interaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N3KXD7PQ","conferencePaper","2012","Siemens, George; Baker, Ryan S. J. d.","Learning Analytics and Educational Data Mining: Towards Communication and Collaboration","Proceedings of the 2Nd International Conference on Learning Analytics and Knowledge","978-1-4503-1111-3","","10.1145/2330601.2330661","http://doi.acm.org/10.1145/2330601.2330661","Growing interest in data and analytics in education, teaching, and learning raises the priority for increased, high-quality research into the models, methods, technologies, and impact of analytics. Two research communities -- Educational Data Mining (EDM) and Learning Analytics and Knowledge (LAK) have developed separately to address this need. This paper argues for increased and formal communication and collaboration between these communities in order to share research, methods, and tools for data mining and analysis in the service of developing both LAK and EDM fields.","2012","2016-09-13 16:05:31","2016-09-13 16:05:31","2015-01-16 03:15:55","252–254","","","","","","Learning Analytics and Educational Data Mining","","","","","ACM","New York, NY, USA","","","","","","ACM Digital Library","","","<p>1. Differences b/w EDM &amp; LAK:</p> <ul> <li>EDM = Tech Field, LAK= ED Field</li> <li>EDM=automation, LAK= using tech as a tool to enhance human judgment</li> <li>Methodological differences: EDM=machine learning, LAK= text &amp; SNA</li> <li>EDM = individual, LAK = holistic</li> <li>Challenge of integrating the tech and ed.</li> <li>Techniques &amp; M ethods: <br />LAK: Social network analysis, sentiment analysis, influence analytics, discourse analysis, learner success prediction, concept analysis, sensemaking models; <br />EDM: Classification, clustering, Bayesian modeling, relationship mining, discovery with models, visualization;</li> </ul> <p>&nbsp;</p> <p>2. First workshop holding in 2005, @Pittsburgh</p> <p>&nbsp;&nbsp;&nbsp; First Conference @ Montreal, in 2008</p> <p>3.</p> <ul> <li style=""text-align: left;"">“Educational Data Mining is an emerging discipline, concerned with developing methods for exploring the unique types of data that come from educational settings, and using those methods to better understand students, and the settings which they learn in.""</li> <li style=""text-align: left;"">The Society for Learning Analytics Research defines Learning Analytics as: “… the measurement, collection, analysis and reporting of data about learners and their contexts, for purposes of understanding and optimizing learning and the environments in which it occurs.”</li> </ul> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p>","","","","Collaboration; educational data mining; learning analytics and knowledge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XXNT9VPT","book","2015","Zheng, Alice","Evaluating Machine Learning Models","","","","","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","Data science today is a lot like the Wild West: there’s endless opportunity and excitement, but also a lot of chaos and confusion. If you’re new to data science and applied machine learning, evaluating a machine-learning model can seem pretty overwhelming...","2015-09","2016-09-13 16:05:31","2016-09-13 16:05:31","2015-12-15 18:26:39","","","","","","","","","","","","O'Reily Media","Sebastopol, CA","","","","","","","","","<p>1. Binary Classification</p> <ul> <li>generic names for the two classes: “positive” and “negative,” or “class 1” and “class 0.”</li> </ul> <ul> <li>measures: Accuracy, confusion matrix, log-loss, and AUC</li> <li>accuracy = # correct predictions/ # total data points</li> <li>confusion matrix: how many examples failed for class 0 versus class 1;<br />&nbsp;examples on pg 9 :<br />positive class has lower accuracy (80/(20 + 80) = 80%) than the negative class (195/ (5 + 195) = 97.5%).</li> <li>Per-Class Accuracy : as above (80% + 97.5%)/2 = 88.75%</li> <li>log-loss is the cross entropy between the dis‐ tribution of the true labels and the prediction; By minimizing the cross entropy, we maximize the accuracy of the classifier.</li> <li>AUC stands for area under the curve (ROC): The ROC curve shows the sensi‐ tivity of the classifier by plotting the rate of true positives to the rate of false positives (hard to compare/ details in classifiers)</li> <li>A bad ROC curve covers very little area. So high AUC is good, and low AUC is not so good.</li> </ul> <p>2.Ranking Metrics</p> <ul> <li>Precision-Recall:</li> </ul> <p>precision = # happy correct answers/ # total items returned by ranker</p> <p>recall = # happy correct answers /# total relevant items</p> <ul> <li>Precision-Recall Curve and the F1 Score: F1 score will be small if either precision or recall is small (p14)</li> <li>NDCG :normalized discounted cumulative gain. -Cumulative gain sums up the relevance of the top k items. Discounted cumulative gain discounts items that are further down the list. Normalized discounted cumulative gain, true to its name, is a nor‐ malized version of discounted cumulative gain. It divides the DCG by the perfect DCG score, so that the normalized score always lies between 0.0 and 1.0.</li> </ul> <p>3. Regression Metrics</p> <ul> <li>RMSE (root-mean-square error)</li> <li>Quantiles of Errors :mean is not robust (to large outliers) if produce large average error</li> </ul> <p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; median absolute percentage&nbsp; to look at robust estimators of performance , with “Almost Correct” Predictions (p16)</p>","/Users/jiaxil/Desktop/CU/CU_HWS/Autumn 2016/EDM/evaluating-machine-learning-models.pdf; ","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BKH3EJ6N","blogPost","2015","Leong, B; Polonetsky, J","Why Opting Out of Student Data Collection Isn’t the Solution","EdSurge","","","","https://www.edsurge.com/news/2015-03-16-why-opting-out-of-student-data-collection-isn-t-the-solution","In every privacy debate across every industry, the same questions arise about the rights of individuals to “opt-out” of their data being collected or used. So it should come as no surprise that the “when” and “how” of parent and student opt-outs of education data collection or use has become a robust","2015-03-16","2016-09-13 16:05:31","2016-09-13 16:05:31","2016-01-16 16:31:25","","","","","","","","","","","","","","","","","","","","","","<ul> <li>It is useful and needed to collect data under the base of administrative office</li> <li>should not be lack of knowledge and understandings on students with diverse backgrounds</li> <li>when it is not used for educational purpose, then parents should refuse</li> <li><span style=""color: #333333; font-family: Merriweather, Georgia, 'Times New Roman', serif; font-size: 18px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: -0.54px; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;"">Opt-out rights should be an opportunity for parents to decline uses of data that truly are secondary to the functioning of our educational system – not an opportunity to avoid resolution of education policy issues that affect all students.</span></li> </ul>","","https://www.edsurge.com/news/2015-03-16-why-opting-out-of-student-data-collection-isn-t-the-solution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VVRFMHFG","videoRecording","2015","Educause","Why Is Measuring Learning So Difficult?","","","","","https://www.youtube.com/watch?v=_iv8A1pHNYA","Several higher education learning and assessment professionals discuss the difficulties of measuring learning.","2015-08-17","2016-09-13 16:05:31","2016-09-13 16:05:31","2016-01-17 18:50:57","","","","","","","","","","","","","","","","","","","YouTube","","","<p>&nbsp;Why is it so difficult to measure learning?</p> <ul> <li>Don't know where a student is starting from</li> <li>Cant measure all the ways that people learn</li> <li>Based on proxies, but proxies change based on context not just individual</li> <li>We can simplify but may throw away the signal and keep the noise</li> </ul>","","","","Assessment; Education; educational assessment; EDUCAUSE; Higher Education; learners; Learning; Teaching and learning","","","","","","","","","","","","","","","","","","","","","470 seconds","","","","","","","","","","","","","","","","","","","","","","","","",""
"D5SXF6K4","webpage","2016","Weinersmith, Zach","Saturday Morning Breakfast Cereal","","","","","http://www.smbc-comics.com/index.php?id=3978","","2016-01-05","2016-09-13 16:05:31","2016-09-13 16:05:31","2016-01-18 18:17:09","","","","","","","","","","","","","","","","","","","","","","","","http://www.smbc-comics.com/index.php?id=3978","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
