"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"SJCFT3MK","document","2012","Siemens, George; Baker, Ryan","Learning Analytics and Educational Data Mining: Towards Communication and Collaboration","","","","","http://users.wpi.edu/%7Ersbaker/LAKs%20reformatting%20v2.pdf","Growing interest in data and analytics in education, teaching, and learning raises the priority for increased, high-quality research into the models, methods, technologies, and impact of analytics. Two research communities – Educational Data Mining (EDM) and Learning Analytics and Knowledge (LAK) have developed separately to address this need. This paper argues for increased and formal communication and collaboration between these communities in order to share research, methods, and tools for data mining and analysis in the service of developing both LAK and EDM fields.","2012","2016-11-30 23:56:54","2016-12-22 03:18:28","2016-09-12","","","","","","","","","","","","","","English","","","","","","","","<p>Distinctions between LAK and EDM</p> <div class=""page"" title=""Page 2""> <div class=""layoutArea""> <div class=""column""> <p><span style=""font-size: 9.000000pt; font-family: 'TimesNewRomanPSMT';"">One key distinction is found in the type of discovery that is prioritized. </span></p> <div class=""page"" title=""Page 2""> <div class=""layoutArea""> <div class=""column""> <p><span style=""font-size: 9.000000pt; font-family: 'TimesNewRomanPSMT';"">This difference is associated with another difference between the two communities: the type of adaptation and personalization typically supported by the two communities. </span></p> <div class=""page"" title=""Page 2""> <div class=""layoutArea""> <div class=""column""> <p><span style=""font-size: 9.000000pt; font-family: 'TimesNewRomanPSMT';"">A third difference, and an important one, is the distinction between holistic and reductionistic frameworks. </span></p> </div> </div> </div> </div> </div> </div> <div class=""page"" title=""Page 2""> <div class=""layoutArea""> <div class=""column""> <p><span style=""font-size: 9.000000pt; font-family: 'TimesNewRomanPSMT';"">Two other differences are in the most common origins and methods of researchers in these two communities. </span></p> <p>&nbsp;</p> <p><strong><span style=""font-size: 9pt; font-family: 'TimesNewRomanPSMT';"">Note:</span></strong></p> <p><span style=""font-size: 9.000000pt; font-family: 'TimesNewRomanPSMT';"">It's very important for us to know the differences between LAK and EDM.&nbsp; LAK focuses on informing and empowering instructors and learners. EDM focuses on automated adaption. </span></p> </div> </div> </div> </div> </div> </div>; <p><span style=""font-size: 9.000000pt; font-family: 'TimesNewRomanPSMT';"">EDM &amp; LAK</span></p> <p><span style=""font-size: 9.000000pt; font-family: 'TimesNewRomanPSMT';"">The International Educational Data Mining Society defines EDM as follows: “Educational Data Mining is an emerging discipline, concerned with developing methods for exploring the unique types of data that come from educational settings, and using those methods to better understand students, and the settings which they learn in.” </span></p> <div class=""page"" title=""Page 1""> <div class=""layoutArea""> <div class=""column""> <p><span style=""font-size: 9.000000pt; font-family: 'TimesNewRomanPSMT';"">The Society for Learning Analytics Research defines Learning Analytics as: “... the measurement, collection, analysis and reporting of data about learners and their contexts, for purposes of understanding and optimizing learning and the environments in which it occurs.” </span></p> <div class=""page"" title=""Page 2""> <div class=""layoutArea""> <div class=""column""> <p><span style=""font-size: 9.000000pt; font-family: 'TimesNewRomanPSMT';"">EDM and LAK both reflect the emergence of data-intensive approaches to education. </span></p> </div> </div> </div> <p>&nbsp;</p> <p><strong>Note:</strong></p> <p>Both of them share the goals of improving education by improving assessment.</p> <p>&nbsp;</p> </div> </div> </div> <p>&nbsp;</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9AXNQ7BQ","videoRecording","2015","Reich, Justin; Campbell, Gardner; Collier, Amy; Wagner, Ellen; Hickey, Daniel","Why Is Measuring Learning So Difficult?","","","","","http://er.educause.edu/multimedia/2015/8/why-is-measuring-learning-so-difficult-v","","2015","2016-12-01 00:18:10","2016-12-22 03:18:50","","","","","","","","","","","","","","","English","","","","","","","","<p>This discussion is very interesting. Learning is a necessary process for each of us and it plays an important role in the field of education. Through the discussion about why is measuring learning so difficult, we can realize that it's still a difficult way for educators to create a perfect measurement to measure learning. However, we may have some reflections after watching this video.&nbsp;</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MWE7VREI","forumPost","2016","Leong, Brenda; Polonetsky, Jules","Passing the Privacy Test as Student Data Laws Take Effect","","","","","https://www.edsurge.com/news/2016-01-12-passing-the-privacy-test-as-student-data-laws-take-effect?utm_content=bufferc0042&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer","What services are covered by these new regulations? The first key question is to determine whether a particular program or device is designed and marketed for use in schools. This definition, initially proposed by Common Sense Media for their draft bill that became a model for the Pledge and dozens of state laws, does not apply to the wide variety of tools available to the general public, even if they are also used by schools. What data is covered? Data that has been aggregated, or anonymized information, no longer provides personal details about an individual student and generally raises no privacy concerns. What are the restrictions? They are barred from selling student information, delivering targeted advertising to students, or changing privacy policies without notice and choice. They must use data for authorized educational uses only, support requirements for parental access to data, and delete data when required. They must also meet security standards to protect the data they possess against online breaches.","2016","2016-12-01 00:27:44","2016-12-22 03:19:16","","","","","","","","","","","","","","","English","","","","","","","","<p>Confidential information has become a widely topic recently. When I was learning data management, I was told to protect and respect each participant's personal information all the time. It's necessary to make all of student personal information anonymized because students' privacy should be protected by law.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8596E4GM","book","2012","Greller, Wolfgang; Drachsler, Hendrik","Translating Learning into Numbers: A Generic Framework for Learning Analytics","","","","","https://www.jstor.org/stable/pdf/jeductechsoci.15.3.42.pdf","With the increase in available educational data, it is expected that Learning Analytics will become a powerful means to inform and support learners, teachers and their institutions in better understanding and predicting personal learning needs and performance. However, the processes and requirements behind the beneficial application of Learning and Knowledge Analytics as well as the consequences for learning and teaching are still far from being understood. In this paper, we explore the key dimensions of Learning Analytics (LA), the critical problem zones, and some potential dangers to the beneficial exploitation of educational data. We propose and discuss a generic design framework that can act as a useful guide for setting up Learning Analytics services in support of educational practice and learner guidance, in quality assurance, curriculum development, and in improving teacher effectiveness and efficiency. Furthermore, the presented article intends to inform about soft barriers and limitations of Learning Analytics. We identify the required skills and competences that make meaningful use of Learning Analytics data possible to overcome gaps in interpretation literacy among educational stakeholders. We also discuss privacy and ethical issues and suggest ways in which these issues can be addressed through policy guidelines and best practice examples. Our chosen approach leading to the proposed framework consisted of a number of gathering and analysis processes. First, as a matter of opinion mining, we scanned the scientific interactions from proceedings and presentations of the conferences and working groups mentioned above. Additionally, we scanned the live discussions on the LA Google Groups. Furthermore, we looked back at recent RTD projects that contained elements of analytics and the questions and lessons they produced.    The six dimensions of the proposed LA framework are (cf. Figure 1): stakeholders, objectives, data, instruments, external constraints, and internal limitations.   Stakeholders Data subjects: a group of learners. Data clients: tutor, discussion moderator.   Objective Reflection: Analyse student interactions in a forum discussion, identify network connections between students, and identify isolated students to bring them back into the discussion.   Data Protected dataset: Student interactions and posts in the discussion forum of the LMS. Relevant indicators: Posts published, posts replied to. Time scale: what time frame is applied to the analysis?   Instruments Pedagogic theory: socio-constructivist, hypothesis is that active participants in a discussion show better learning outcomes. Technology: Social Network Analysis (SNA), statistics. Presentation: network diagram visualisation, stats table.   External limitations Conventions: (1) Privacy: is the analysis in accordance with privacy arrangements, are the students properly informed? (2) Ethics: What are the dangers of abuse/misguided use of the data? Norms: Are there e.g., legal data protection or IPR issues related to this kind of use of student data? Time scale: will the students still be able to benefit from the analytics outcome? Is the analysis post-hoc or just-in-time?   Internal limitations Required competences: (1) Interpretation: Do the data clients have the necessary competences to interpret and act upon the results? Do they understand the visualisation or presentation of the information? (2) Critical thinking: Do they understand which data is represented and which data is absent? How will they use this information?","2012","2016-12-01 00:33:50","2016-12-22 03:19:31","","","","","","","","","","","","","","","English","","","","","","","","<p><span style=""font-size: 10.000000pt; font-family: 'TimesNewRomanPSMT';"">To validate the framework as both a descriptive approach as well as a guide to the design process of LA applications, we suggest evaluating the growing number of LA application showcases and testing for consistency in the descriptive values of the model. Additionally, we want to create a selected number of use cases that encompass the six dimensions and their instantiations. </span></p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S5TH9H8S","document","","Matsuda, Noboru; Furukawa, Tadanobu; Bier, Norman; Faloutsos, Christos","Machine beats experts: Automatic discovery of skill models for data-driven online course refinement","","","","","http://files.eric.ed.gov/fulltext/ED560513.pdf","How can we automatically determine which skills must be mastered for the successful completion of an online course? Large-scale online courses (e.g., MOOCs) often contain a broad range of contents frequently intended to be a semester’s worth of materials; this breadth often makes it difficult to articulate an accurate set of skills and knowledge (i.e., a skill model, or the Q- Matrix). We have developed an innovative method to discover skill models from the data of online courses. Our method assumes that online courses have a pre-defined skill map for which skills are associated with formative assessment items embedded throughout the online course. Our method carefully exploits correlations between various parts of student performance, as well as in the text of assessment items, to build a superior statistical model that even outperforms human experts. To evaluate our method, we compare our method with existing methods (LFA) and human engineered skill models on three Open Learning Initiative (OLI) courses at Carnegie Mellon University. The results show that (1) our method outperforms human-engineered skill models, (2)skill models discovered by our method are interpretable, and (3)our method is remarkably faster than existing methods. These results suggest that our method provides a significant contribution to the evidence-based, iterative refinement of online courses with a promising scalability.","","2016-12-01 01:41:41","2016-12-01 01:52:29","","","","","","","","","","","","","","","","","","","","","","","<p><span style=""font-size: 9.000000pt; font-family: 'TimesNewRomanPSMT'; color: rgb(0.392200%, 0.784300%, 0.784300%);""><strong>eEPIPHANY</strong> is a collection of data mining techniques for automatic discovery of skill models from online course data. The primary input to eEPIPHANY is a matrix representing a chronological record of students’ responses to assessment items, called an A-matrix (Figure 6-a). The A-matrix is a three- dimensional matrix showing a history of attempts on individual assessment items made by individual students. Each attempt is a vector of binary values representing the correctness of a student’s response—0 indicates incorrect and 1 indicates correct. The A- matrix contains at most one correct response per student per assessment item. </span></p> <p>&nbsp;</p> <div class=""page"" title=""Page 2""> <div class=""layoutArea""> <div class=""column""> <p><span style=""font-size: 9.000000pt; font-family: 'TimesNewRomanPSMT'; color: rgb(0.392200%, 0.784300%, 0.784300%);"">The goal of eEPIPHANY is to find a skill model (Q-matrix) that produces the best prediction of the A-matrix. The predictive power is measured by cross-validation. eEPIPHANY can either find a Q-matrix by itself or refine a given Q-matrix by the following steps: (1) clustering assessment items with latent features that would best characterize the similarity in the difficulties of assessment items (section 3.1), (2) proposing a new skill model by assuming that the above-mentioned cluster of assessment items provides a hint for new skills (section 3.2), and (3) searching for the best skill model by comparing multiple skill model candidates (section 3.3). </span></p> <p><span style=""font-size: 9.000000pt; font-family: 'TimesNewRomanPSMT'; color: rgb(0.392200%, 0.784300%, 0.784300%);"">&nbsp;</span></p> <div class=""page"" title=""Page 2""> <div class=""layoutArea""> <div class=""column""> <p><span style=""font-size: 9.000000pt; font-family: 'TimesNewRomanPSMT'; color: rgb(0.392200%, 0.784300%, 0.784300%);"">The BoW strategy creates the F-matrix directly from a collection of </span><span style=""font-size: 9.000000pt; font-family: 'TimesNewRomanPS'; font-style: italic; color: rgb(0.392200%, 0.784300%, 0.784300%);"">item stems </span><span style=""font-size: 9.000000pt; font-family: 'TimesNewRomanPSMT'; color: rgb(0.392200%, 0.784300%, 0.784300%);"">(i.e., assessment item text data showing problem and feedback texts) for assessment items. That is, the assessment items are clustered by the bag-of-words method using item stems. </span></p> </div> </div> </div> <p>&nbsp;</p> <p>&nbsp;</p> </div> </div> </div> <p>&nbsp;</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ADPWMSKP","forumPost","2014","Garrett, Grolemund","The R Markdown Cheat sheet","","","","","http://shiny.rstudio.com/articles/rm-cheatsheet.html","","2014","2016-12-19 20:50:17","2016-12-22 03:19:05","2016-09-26","","","","","","","","","","","","","","English","","","","","","","","<p>This is a format for writing reproducible, dynamic reports with R.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7QBCU9GX","forumPost","2015","","Data Wrangling with dplyr and tidyr Cheat sheet","","","","","http://www.rstudio.com/wp-content/uploads/2015/02/data-wrangling-cheatsheet.pdf","","2015","2016-12-19 21:01:21","2016-12-22 03:19:56","","","","","","","","","","","","","","","English","","","","","","","","<p>This cheat sheet is very useful for R program novices. It includes all the steps and introduction for each function about dplyr and tidy. Due to its visulization, it's easier for us to understand and know which one to select.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66XAH4RA","forumPost","2016","","Saturday Morning Breakfast Cereal: 2016","","","","","http://www.smbc-comics.com/index.php?id=3978","","2016","2016-12-21 18:01:29","2016-12-22 03:19:43","","","","","","","","","","","","","","","English","","","","","","","","<p>With irony to satire its educational purpose.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9CR9W4RN","document","2014","Doug, Clow","Data wranglers: human interpreters to help close the feedback loop","","","","","http://oro.open.ac.uk/40608/2/Clow-DataWranglers-final.pdf","Closing the feedback loop to improve learning is at the heart of good learning analytics practice. However, the quantity of data, and the range of different data sources, can make it difficult to take systematic action on that data. Previous work in the literature has emphasised the need for and value of human meaning-making in the process of interpretation of data to transform it in to actionable intelligence.","2014","2016-12-21 22:44:29","2016-12-22 03:20:05","","","","","","","","","","","","","Institute of Educational Technology","","English","","","","","","","","<p>This article describes a programme of human Data Wranglers deployed at the Open University, UK, charged with making sense of a range of data related to learning, analysing that data in the light of their understanding of practice in individual faculties/departments, and producing reports that summarise the key points and make actionable recommendations.</p> <p>It mentioned that ""A learning analytics system may be used simply to attempt to achieve set goals; greater value and insight will come if those goals themselves can be interrogated challenged, and developed.""&nbsp;</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DQM5D6N5","forumPost","2014","Jeffrey, Young","Why Students Should Own Their Educational Data","","","","","http://www.chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","Technology can help, by giving educators detailed data on students and the ability to customize teaching materials so “they truly can nurture the potential of every single individual.”","2014","2016-12-21 22:56:28","2016-12-22 03:20:13","","","","","","","","","","","","","","","English","","","","","","","","<p>Based on analyzing a population and trying to parse out different ways of learning over a population, people create different kinds of learning methods and learning theories.</p> <p>Students should own their educational data and know how to use this data effectively.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
