"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"32X3QDIG","journalArticle","1994","Corbett, Albert T.; Anderson, John R.","Knowledge tracing: Modeling the acquisition of procedural knowledge","User Modeling and User-Adapted Interaction","","0924-1868, 1573-1391","10.1007/BF01099821","http://link.springer.com.ezp-prod1.hul.harvard.edu/article/10.1007/BF01099821","This paper describes an effort to model students' changing knowledge state during skill acquisition. Students in this research are learning to write short programs with the ACT Programming Tutor (APT). APT is constructed around a production rule cognitive model of programming knowledge, called theideal student model. This model allows the tutor to solve exercises along with the student and provide assistance as necessary. As the student works, the tutor also maintains an estimate of the probability that the student has learned each of the rules in the ideal model, in a process calledknowledge tracing. The tutor presents an individualized sequence of exercises to the student based on these probability estimates until the student has ‘mastered’ each rule. The programming tutor, cognitive model and learning and performance assumptions are described. A series of studies is reviewed that examine the empirical validity of knowledge tracing and has led to modifications in the process. Currently the model is quite successful in predicting test performance. Further modifications in the modeling process are discussed that may improve performance levels.","1994-12-01","2016-09-13 16:15:05","2016-09-13 16:15:05","2013-04-21 21:21:19","253-278","","4","4","","User Model User-Adap Inter","Knowledge tracing","","","","","","","en","","","","","link.springer.com.ezp-prod1.hul.harvard.edu","","","","","","","Education (general); empirical validity; individual differences; intelligent tutoring systems; Learning; Management of Computing and Information Systems; mastery learning; Multimedia Information Systems; procedural knowledge; Psychology, general; student modeling; User Interfaces and Human Computer Interaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42CNSJEJ","blogPost","2015","Leong, B; Polonetsky, J","Why Opting Out of Student Data Collection Isn’t the Solution","EdSurge","","","","https://www.edsurge.com/news/2015-03-16-why-opting-out-of-student-data-collection-isn-t-the-solution","In every privacy debate across every industry, the same questions arise about the rights of individuals to “opt-out” of their data being collected or used. So it should come as no surprise that the “when” and “how” of parent and student opt-outs of education data collection or use has become a robust","2015-03-16","2016-09-13 16:15:06","2016-09-13 16:15:06","2016-01-16 16:31:25","","","","","","","","","","","","","","","","","","","","","","<p>the Fair Information Privacy Principles (FIPPS): the basis of most privacy laws in the U.S. and around the world</p> <p><strong>Primary use</strong> of student data: administrative and educational purposes</p> <p>Then, there is the use of data to understand how well students perform over time, how well a school system is serving different populations, and how well different educational strategies are succeeding.<br />Opt-out prevents schools from getting an accurate picture for all students.</p> <p><strong>Secondary uses</strong>: sharing any student data for purposes unrelated to the educational and related activities that are expected by parents.<br />Maybe mandate opt-out</p> <p>""Opt-out rights should be an opportunity for parents to decline uses of data that truly are secondary to the functioning of our educational system – not an opportunity to avoid resolution of education policy issues that affect all students.""</p>","","https://www.edsurge.com/news/2015-03-16-why-opting-out-of-student-data-collection-isn-t-the-solution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4PSHA4ZX","blogPost","2014","Young, Jeffrey R.","Why Students Should Own Their Educational Data","The Chronicle of Higher Education Blogs: Wired Campus","","","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","2014-08-21","2016-09-13 16:15:05","2016-09-13 16:15:05","2014-08-23 21:32:22","","","","","","","","","","","","","","","","","","","","","","<p>most learners have a “jagged profile” of traits when it comes to learning</p> <p>a shift to a different way where you start by analyzing individual patterns instead of aggregate data</p> <p>Learning style theory comes from analyzing a population and trying to parse out different ways of learning over a population. But when you apply it to one individual it doesn’t hold. You can’t start with averages.</p> <p>What we need to know about you is your contextualized profile of your performance and what kind of support you’ll need to be able to model your learner profile across contexts. ""If I had to push for one thing that I think is super important, that is that the user should own their data.""</p> <p>There’s this default thing right now which is that everybody but the user owns their data. A third party is needed to protect learner data.</p> <p>Education is decidedly not a functional market right now. There’s not enough transparency.</p> <p>&nbsp;</p>","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6KIACMKP","journalArticle","2015","Konstan, Joseph A.; Walker, J. D.; Brooks, D. Christopher; Brown, Keith; Ekstrand, Michael D.","Teaching Recommender Systems at Large Scale: Evaluation and Lessons Learned from a Hybrid MOOC","ACM Trans. Comput.-Hum. Interact.","","1073-0516","10.1145/2728171","http://doi.acm.org/10.1145/2728171","","2015-04","2016-09-13 16:15:08","2016-09-13 16:15:08","2016-09-03 20:38:02","10:1–10:23","","2","22","","","Teaching Recommender Systems at Large Scale","","","","","","","","","","","","ACM Digital Library","","","<p>Predicting knowledge gain or course completion is hard.</p> <p>But the authors ""found knowledge gains did <strong>not</strong> correlate significantly with <strong>age, sex, student level, or motivation</strong> for taking the course. The factors that were <strong>predictive</strong> all relate to <strong>effort</strong>, <strong>prior courses, and baseline knowledge</strong> (in what appears to be only a <strong>negative</strong> effect resulting from ceiling effects).""</p> <p>A class-specific dataset is useful to enhance students' performance since they can manipulate real data related to themselves. And ""it provided both interest and a barrier to cheating by passing around correct datasets.""</p> <p>The use of open-source infrastructure for distributing course software (e.g. Maven) was a big success.</p> <p>The tension between course semantics and the Coursera-tool concepts</p> <p><strong>principal components analysis</strong></p> <p>data: rates from students of reasons for enrolling in a MOOC</p> <p>extract 4 factors, Eigenvalues&gt;1, acceptable factor loadings</p> <p>purpose: identify factors to use in subsequent regression analysis</p>","","","","learning assessment; Massively Online Open Course (MOOC)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7DEQKQSW","videoRecording","2015","Georgia Tech","Feature Selection","","","","","https://www.youtube.com/watch?v=8CpRLplmdqE","","2015-02-23","2016-09-13 16:15:07","2016-09-13 16:15:07","2016-01-18 19:18:06","","","","","","","","","","","","Youtube","","","","","","","","","","<p>The Curse of Dimensionality says that the amount of data that you need grows exponentially in the numbers of feature that you have.(2^n, n:# of features) <strong>So it would be really nice if you could have fewer features.</strong></p>","","https://www.youtube.com/watch?v=8CpRLplmdqE","","","","","","","","","","","","","","","Udacity","","","","","","","","3:13","","","","","","","","","","","","","","","","","","","","","","","","",""
"9U8DMNEW","journalArticle","2008","Baker, Ryan S. J. d; Corbett, Albert T.; Roll, Ido; Koedinger, Kenneth R.","Developing a generalizable detector of when students game the system","User Modeling and User-Adapted Interaction","","0924-1868, 1573-1391","10.1007/s11257-007-9045-6","http://link.springer.com/article/10.1007/s11257-007-9045-6","Some students, when working in interactive learning environments, attempt to “game the system”, attempting to succeed in the environment by exploiting properties of the system rather than by learning the material and trying to use that knowledge to answer correctly. In this paper, we present a system that can accurately detect whether a student is gaming the system, within a Cognitive Tutor mathematics curricula. Our detector also distinguishes between two distinct types of gaming which are associated with different learning outcomes. We explore this detector’s generalizability, and find that it transfers successfully to both new students and new tutor lessons.","2008-01-23","2016-09-13 16:15:10","2016-09-13 16:15:10","2016-09-04 01:34:49","287-314","","3","18","","User Model User-Adap Inter","","","","","","","","en","","","","","link.springer.com","","","<p>game the system: attempting to succeed in the environment by exploiting properties of the system rather than by learning the material and trying to use that knowledge to answer correctly</p> <p>Make predictions about <strong>when</strong> students game the system, which is facilitated by using hierarchical modeling frameworks that make predictions<br />at multiple grain-sizes.</p> <p>Other detectors: the Help-Seeking Tutor agent and Gaming Detector</p> <p>harmful and non-harmful gaming</p> <p>a model selection algorithm</p> <p>tools used within this paper: Latent Response Models + Fast Correlation-Based Filtering</p> <p>Meta-analysis: comparing models across different contexts or aggregating measures of mo model accuracy across contexts</p> <p>a detector of behavior will be useful if it captures important behaviors, identifies when they occur, promotes understanding of the behaviors, and<br />is general—regardless of what domain the behavior occurs within.</p>","","https://link.springer.com/article/10.1007/s11257-007-9045-6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABCD2345","webpage","","Center for History and New Media","Zotero 快速入门指南","","","","","http://zotero.org/support/quick_start_guide","","","2016-09-13 16:11:34","2016-09-13 16:11:34","","","","","","","","","","","","","","","","","","","","","","","<p><strong>欢迎使用 Zotero!</strong></p><p>查阅快速入门指南学习如何收集, 管理, 引用和分享您的研究资源.</p><p>感谢安装 Zotero.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BHBXM9UA","webpage","2016","Brenda Leong, Jules Polonetsky","Passing the Privacy Test as Student Data Laws Take Effect","EdSurge","","","","https://www.edsurge.com/news/2016-01-12-passing-the-privacy-test-as-student-data-laws-take-effect?utm_content=bufferc0042&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer","","2016-01-12","2016-09-20 02:41:37","2016-09-20 02:45:41","","","","","","","","","","","","","","","eng","","","","","","","","<p>2016/1/1 ""SOPIPA""&nbsp; California student data privacy law</p> <p>Included:</p> <p>Edtech companies' restricted use of students' data (for authorized educational uses only), support for parental access to data, and obligation to delete data when required;</p> <p>Public schools' restricted requirement for students of sharing data and mandatory responsibility of informing students' and their parents of data-privacy-related issues;</p> <p>Students' data for educational purposes are strictly forbidden to be used for commercial use.</p> <p>Adequately de-identified data, e.g. some aggregated, or anonymized information, can be analyzed and shared, while there is still some restrictions, e.g. SOPIPA limits the use of them to purposes like product improvement, but not for advertising.</p> <p>Not included:</p> <p>Students' data generated on general market services (Back doors for tech companies)</p> <p>P.s. Differential Privacy; Semi-anonymous</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BRPDXITK","book","2015","Zheng, Alice","Evaluating Machine Learning Models","","","","","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","Data science today is a lot like the Wild West: there’s endless opportunity and excitement, but also a lot of chaos and confusion. If you’re new to data science and applied machine learning, evaluating a machine-learning model can seem pretty overwhelming...","2015-09","2016-09-13 16:15:06","2016-09-13 16:15:06","2015-12-15 18:26:39","","","","","","","","","","","","O'Reily Media","Sebastopol, CA","","","","","","","","","<p>One of the core tasks in building a machine learning model is to evaluate its performance</p> <p><strong>The machine learning workflow</strong></p> <p><strong>Online evaluation</strong> measures live metrics of the deployed model on live data;&nbsp;<strong>offline evaluation</strong> measures offline metrics of the prototyped model on historical data (and sometimes on live data as well).</p> <p><strong>Evaluation Metrics</strong></p> <p>Different machine learning tasks have different performance metrics.</p> <p>classification performance metrics: average accuracy, log-loss, and area under the curve (AUC)</p> <p>predict a numeric score: root-mean-square error (RMSE)</p> <p>ranking items by relevance to a query submitted to a search engine: precision-recall, normalized discounted cumulative gain (NDCG).</p> <p><strong>Offline Evaluation Mechanisms</strong></p> <p>the main task during the prototyping phase is to select the right model to fit the data. The model must be evaluated on a dataset that’s <strong>statistically independent</strong> from the one it was trained on.</p> <p>hold-out validation: hold out part of the training set and use it only for evaluation.</p> <p>k-fold cross-validation: the general method</p> <p>other methods: bootstrapping, jackknife resampling</p> <p><strong>Hyperparameter Search</strong></p> <p>model parameters are the knobs that the training algorithm knows how to tweak; they are learned from data. Hyperparameters, on the other hand, are not learned by the training method, but they also need to be tuned.</p> <p><strong>Online Testing Mechanisms</strong></p> <p>The most commonly used form of online testing is A/B testing, which is<br />based on statistical hypothesis testing.</p> <p>multiarmed bandits: less well-known form of online model selection, maybe better than A/B test</p>","","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GNAHRK6Q","conferencePaper","2014","Clow, Doug","Data wranglers: human interpreters to help close the feedback loop","Proceedings of the Fourth International Conference on Learning Analytics And Knowledge","","","","","","2014","2016-09-13 16:15:07","2016-09-13 16:15:07","","49–53","","","","","","","","","","","ACM","","","","","","","","","","<p>the value of human meaning-makers in the learning analytics process</p> <p>This approach is high cost in terms of time - high yield in understanding</p> <p>The Data Wrangler process is not uniform</p> <p>The Data Wrangler process encapsulates this: the richest discussions were at an individual course level, but engagement at the levels of Faculties and the whole institution was also valuable in capacity building.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
