"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ABCD2345","webpage","","Center for History and New Media","Zotero Quick Start Guide","","","","","http://zotero.org/support/quick_start_guide","","","2016-12-03 07:30:36","2016-12-03 07:30:36","","","","","","","","","","","","","","","","","","","","","","","<p><strong>Welcome to Zotero!</strong></p><p>View the Quick Start Guide to learn how to begin collecting, managing, citing, and sharing your research sources.</p><p>Thanks for installing Zotero.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NIC9WUDC","webpage","","","New Tab","","","","","about:newtab","","","2016-12-03 07:30:52","2016-12-03 07:30:52","2016-12-03 07:30:52","","","","","","","","","","","","","","","","","","","","","","","C:\Users\User\AppData\Roaming\Mozilla\Firefox\Profiles\i9fy37yd.default\zotero\storage\8FP3TT8R\newtab.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6PN9999U","journalArticle","2010","Bowers, Alex J.","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis","Practical Assessment, Research & Evaluation","","1531-7714","","","School personnel currently lack an effective method to pattern and visually interpret disaggregated achievement data collected on students as a means to help inform decision making. This study, through the examination of longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188), demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators. Additionally, as a proof-of-concept study, overall schooling outcomes, such as student dropout or taking a college entrance exam, are identified from the data patterns and compared to past methods of dropout identification as one example of the usefulness of the method. Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8. (Contains 5 figures.)","2010-05","2016-12-15 16:28:23","2016-12-15 16:28:23","2014-09-24 19:31:29","","","7","15","","","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students","","","","","","","en","","","","","ERIC","","","<p><!--StartFragment--></p> <div dir=""ltr""> <div>Longitudnal k-12 teachers who assigned grading histories sample size of 188 were chosen as sample. Hierachical cluster analysis and pattern visualization were chosen as visualisation tools.</div> <div>The results were that over 80% correctness of indentifying the students who dropped out using the entire student grade history patterns from either K-12 or K-8</div> <div>The method here of using HCA retains the dis aggregated data for each student.</div> </div> <p><!--EndFragment--></p>","","http://eric.ed.gov/?id=EJ933686","","data; data analysis; Decision Making; Dropouts; Elementary School Students; Grades (Scholastic); Identification; MULTIVARIATE analysis; School Districts; Secondary School Students","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UVWDUKP2","journalArticle","2014","Grunspan, Daniel Z.; Wiggins, Benjamin L.; Goodreau, Steven M.","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","CBE-Life Sciences Education","",", 1931-7913","10.1187/cbe.13-08-0162","http://www.lifescied.org/content/13/2/167","Social interactions between students are a major and underexplored part of undergraduate education. Understanding how learning relationships form in undergraduate classrooms, as well as the impacts these relationships have on learning outcomes, can inform educators in unique ways and improve educational reform. Social network analysis (SNA) provides the necessary tool kit for investigating questions involving relational data. We introduce basic concepts in SNA, along with methods for data collection, data processing, and data analysis, using a previously collected example study on an undergraduate biology classroom as a tutorial. We conduct descriptive analyses of the structure of the network of costudying relationships. We explore generative processes that create observed study networks between students and also test for an association between network position and success on exams. We also cover practical issues, such as the unique aspects of human subjects review for network studies. Our aims are to convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data.","2014-06-20","2016-12-15 16:28:24","2016-12-15 16:28:24","2014-08-20 20:21:46","167-178","","2","13","","CBE Life Sci Educ","Understanding Classrooms through Social Network Analysis","","","","","","","en","","","","","www.lifescied.org","","","<p><!--StartFragment--></p> <div>social networks analysis in diverse fields entails two broad classes of hypotheses:</div> <div> <ul> <li>those that seek to understand what influences the formation of relational ties in a given population</li> <li>those that consider the influence</li> </ul> </div> <div>The structure of ties has on shaping outcomes, at either the individual level. for example GPA or socioeconomic status. The population level, e.g., graduation rates or retention in STEM] disciplines.</div> <div>A network is nodes plus connections. its density&nbsp; canbe defined as how many links are observed in a whole network divided by the total number of links that could exist if every actor were connected to every other actor.Network transitivity is a value representing the likelihood of student A being tied to C, given that A is tied to B and B is tied to C. Network centrality is the degree, centrality represents the total number of connections a node has.</div> <div>Closeness centrality focuses on how close one node is to another on average, measured along geodesics</div> <div>Between ness centrality focuses on whether actors serve as bridges in the shortest paths between two actors</div> <div>Eigenvector centrality places importance on being connected to other well-connected individuals</div> <div>Example study on an undergraduate biology classroom as a tutorial are used to analysesthe structure of the network of co-studying relationships, explored generative processes that create observed study networks between students and also tested for an association between network position and success on exams.</div> <p><!--EndFragment--></p>","","http://www.lifescied.org/content/13/2/167","Week 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GWRUNNNW","blogPost","2014","Young, Jeffrey R.","Why Students Should Own Their Educational Data","The Chronicle of Higher Education Blogs: Wired Campus","","","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","2014-08-21","2016-12-15 16:28:24","2016-12-15 16:28:24","2014-08-23 21:32:22","","","","","","","","","","","","","","","","","","","","","","<p><!--StartFragment--></p> <div>Learning style theory comes from analyzing a population and trying to parse out different ways of learning over a population, but when you apply it to one individual it doesn’t hold. You can’t start with averages.</div> <div>What we need to know about you is your contextualized profile of your performance and what kind of support you’ll need to be able to model your learner profile across contexts. Education is right now not so transparent and needs some transparency. </div> <p><!--EndFragment--></p>","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MWIFGV9U","journalArticle","1994","Corbett, Albert T.; Anderson, John R.","Knowledge tracing: Modeling the acquisition of procedural knowledge","User Modeling and User-Adapted Interaction","","0924-1868, 1573-1391","10.1007/BF01099821","http://link.springer.com.ezp-prod1.hul.harvard.edu/article/10.1007/BF01099821","This paper describes an effort to model students' changing knowledge state during skill acquisition. Students in this research are learning to write short programs with the ACT Programming Tutor (APT). APT is constructed around a production rule cognitive model of programming knowledge, called theideal student model. This model allows the tutor to solve exercises along with the student and provide assistance as necessary. As the student works, the tutor also maintains an estimate of the probability that the student has learned each of the rules in the ideal model, in a process calledknowledge tracing. The tutor presents an individualized sequence of exercises to the student based on these probability estimates until the student has ‘mastered’ each rule. The programming tutor, cognitive model and learning and performance assumptions are described. A series of studies is reviewed that examine the empirical validity of knowledge tracing and has led to modifications in the process. Currently the model is quite successful in predicting test performance. Further modifications in the modeling process are discussed that may improve performance levels.","1994-12-01","2016-12-15 16:28:24","2016-12-15 16:28:24","2013-04-21 21:21:19","253-278","","4","4","","User Model User-Adap Inter","Knowledge tracing","","","","","","","en","","","","","link.springer.com.ezp-prod1.hul.harvard.edu","","","<p>This article talks about knowledge tracing and ideal student model. The tutor presents an indivisualised sequence of exercises to the student based on probability estimates until the student has mastered each rule. Assumptions are described fro programming tutor, cognitive model, learning and performance models. Model is quite successful and further modifications are also discussed to improve the performance model.</p>","","","","Education (general); empirical validity; individual differences; intelligent tutoring systems; Learning; Management of Computing and Information Systems; mastery learning; Multimedia Information Systems; procedural knowledge; Psychology, general; student modeling; User Interfaces and Human Computer Interaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEBA6KFU","conferencePaper","2012","Siemens, George; Baker, Ryan S. J. d.","Learning Analytics and Educational Data Mining: Towards Communication and Collaboration","Proceedings of the 2Nd International Conference on Learning Analytics and Knowledge","978-1-4503-1111-3","","10.1145/2330601.2330661","http://doi.acm.org/10.1145/2330601.2330661","Growing interest in data and analytics in education, teaching, and learning raises the priority for increased, high-quality research into the models, methods, technologies, and impact of analytics. Two research communities -- Educational Data Mining (EDM) and Learning Analytics and Knowledge (LAK) have developed separately to address this need. This paper argues for increased and formal communication and collaboration between these communities in order to share research, methods, and tools for data mining and analysis in the service of developing both LAK and EDM fields.","2012","2016-12-15 16:28:24","2016-12-15 16:28:24","2015-01-16 03:15:55","252–254","","","","","","Learning Analytics and Educational Data Mining","","","","","ACM","New York, NY, USA","","","","","","ACM Digital Library","","","<p>EDM and LAK are both very new and emerging new fields where people are interested in analysing education, teaching and learning.</p> <p>SoLAR was formed in 2011 to develop, advance and promote the research agenda in learning analytics.</p> <p>""LAK and EDm share many attributes and have smilar goals and interests, they have distinct technological, ideological and methodological orientations.""</p> <p>Communities that can take part in LAK and EDM :</p> <ul> <li>Schools</li> <li>universities</li> <li>Corporate learning organisations</li> <li>Curriculum organisations</li> </ul> <p style=""text-align: justify;"">Society of LA Research defines LA as ""the measurement, collection, analysis and reporting data about learners and their contexts, for purposes of understanding and optimising learning and the environments in which it occurs.""</p> <p style=""text-align: justify;"">LAK and EDm both share the goal of improving education by improving assesment, how problems in education are understood, and how interventions are planned and selected. EDM and LAK have different roots yet they are interconnected and some researches in each can be placed in the other side as well.</p> <p>differences between EDM and LAk are discussed.</p> <p>The author also states that collaboration between the 2 can be great importance in research.</p> <p>&nbsp;</p>","","","","Collaboration; educational data mining; learning analytics and knowledge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USS567XU","journalArticle","2008","Baker, Ryan S. J. d; Corbett, Albert T.; Roll, Ido; Koedinger, Kenneth R.","Developing a generalizable detector of when students game the system","User Modeling and User-Adapted Interaction","","0924-1868, 1573-1391","10.1007/s11257-007-9045-6","http://link.springer.com.ezp-prod1.hul.harvard.edu/article/10.1007/s11257-007-9045-6","Some students, when working in interactive learning environments, attempt to “game the system”, attempting to succeed in the environment by exploiting properties of the system rather than by learning the material and trying to use that knowledge to answer correctly. In this paper, we present a system that can accurately detect whether a student is gaming the system, within a Cognitive Tutor mathematics curricula. Our detector also distinguishes between two distinct types of gaming which are associated with different learning outcomes. We explore this detector’s generalizability, and find that it transfers successfully to both new students and new tutor lessons.","2008-08-01","2016-12-15 16:28:24","2016-12-15 16:28:24","2015-01-16 16:33:56","287-314","","3","18","","User Model User-Adap Inter","","","","","","","","en","","","","","link.springer.com.ezp-prod1.hul.harvard.edu","","","","","http://link.springer.com.ezp-prod1.hul.harvard.edu/article/10.1007/s11257-007-9045-6","","Behavior detection; Cognitive tutors; Education (general); Gaming the system; Generalizable models; Interactive learning environments; Latent response models; Machine learning; Management of Computing and Information Systems; Multimedia Information Systems; student modeling; User Interfaces and Human Computer Interaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SE45NMVZ","book","2015","Zheng, Alice","Evaluating Machine Learning Models","","","","","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","Data science today is a lot like the Wild West: there’s endless opportunity and excitement, but also a lot of chaos and confusion. If you’re new to data science and applied machine learning, evaluating a machine-learning model can seem pretty overwhelming...","2015-09","2016-12-15 16:28:24","2016-12-15 16:28:24","2015-12-15 18:26:39","","","","","","","","","","","","O'Reily Media","Sebastopol, CA","","","","","","","","","","","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H85I5EEZ","blogPost","2015","Leong, B; Polonetsky, J","Why Opting Out of Student Data Collection Isn’t the Solution","EdSurge","","","","https://www.edsurge.com/news/2015-03-16-why-opting-out-of-student-data-collection-isn-t-the-solution","In every privacy debate across every industry, the same questions arise about the rights of individuals to “opt-out” of their data being collected or used. So it should come as no surprise that the “when” and “how” of parent and student opt-outs of education data collection or use has become a robust","2015-03-16","2016-12-15 16:28:24","2016-12-15 16:28:24","2016-01-16 16:31:25","","","","","","","","","","","","","","","","","","","","","","","","https://www.edsurge.com/news/2015-03-16-why-opting-out-of-student-data-collection-isn-t-the-solution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MXCDIDT8","videoRecording","2015","Educause","Why Is Measuring Learning So Difficult?","","","","","https://www.youtube.com/watch?v=_iv8A1pHNYA","Several higher education learning and assessment professionals discuss the difficulties of measuring learning.","2015-08-17","2016-12-15 16:28:24","2016-12-15 16:28:24","2016-01-17 18:50:57","","","","","","","","","","","","","","","","","","","YouTube","","","","","","","Assessment; Education; educational assessment; EDUCAUSE; Higher Education; learners; Learning; Teaching and learning","","","","","","","","","","","","","","","","","","","","","470 seconds","","","","","","","","","","","","","","","","","","","","","","","","",""
"66KHU8UH","webpage","2016","Weinersmith, Zach","Saturday Morning Breakfast Cereal","","","","","http://www.smbc-comics.com/index.php?id=3978","","2016-01-05","2016-12-15 16:28:24","2016-12-15 16:28:24","2016-01-18 18:17:09","","","","","","","","","","","","","","","","","","","","","","","","http://www.smbc-comics.com/index.php?id=3978","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8CCQBI9Z","conferencePaper","2014","Clow, Doug","Data wranglers: human interpreters to help close the feedback loop","Proceedings of the Fourth International Conference on Learning Analytics And Knowledge","","","","","","2014","2016-12-15 16:28:24","2016-12-15 16:28:24","","49–53","","","","","","","","","","","ACM","","","","","","","","","","<p>Data wranglers are a group of academics who analyse data about students learning and prepare actionable reports on the data based on the data.: to act as sense makers,facilitate action on feedback fro learner,making sense of the feedback and improving it. this is double looped learning.</p> <p>4 main data sources they work on include : Survey feedback data from students, activity data at moodle, mode of delivery of the course data, aggregated completion, pass rate and demographic rate.</p> <p>they also support delivery of learning design activities.</p> <p>Role of data wrangler is to analyse data, increase the familiarity of academics with the learning analytics community. they present data from all sources to all users.he is the one component of quality assurance and quality enhancement.</p> <p>Example when data wranglers work on when students use the moodle components most frequently, they found that the weeks when students were suppose to get graded or assessed for their performance they were more active and otherwise not so active. Factors like assessment, student's level of enjoyment and how the weeks were connected to direct experience were responsible for their behaviour</p> <p>Aim of data wranglers is to improve the learning experience.</p> <p>one of the largest issues was the data quality received.</p> <p>&nbsp;</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
