"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ABCD2345","webpage","","Center for History and New Media","Zotero Quick Start Guide","","","","","http://zotero.org/support/quick_start_guide","","","2016-09-10 21:16:05","2016-09-10 21:16:05","","","","","","","","","","","","","","","","","","","","","","","<p><strong>Welcome to Zotero!</strong></p><p>View the Quick Start Guide to learn how to begin collecting, managing, citing, and sharing your research sources.</p><p>Thanks for installing Zotero.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GQP453TX","document","","","Data Mining Lecture Note","","","","","","","","2016-09-10 21:17:53","2016-09-10 21:18:01","","","","","","","","","","","","","","","","","","","","","","","<p>LECTURE 3:</p> <p>- Where does data from:</p> <p>Learning Analytics</p> <p>Standardizing Data Communication <br /><br />LMS can communicate with tools with SIS <br />Scorm = limit info <br />Tin Can = limit syntax<br /><br />- What is BIG DATA: <br /><br />It is relative <br />&nbsp;<br />Process vs Study</p> <p><br />- Common File Formats <br /><br /></p> <ul> <li>DBF: - Database, Excel, Table</li> <li>XML:&nbsp; Extensive Markup Language, Export web page data, hierachy like HTML with tags to delimit</li> <li>JSON: -&nbsp; Javascipt Object Notation, most common server browser format, similar to XML</li> <li>Fixed width: Create a grid text using spaces</li> <li>CSV (TSV):Lightweight, easy to interpret, but you can run into trouble with text</li> <li>Open data sets:</li> </ul> <p><br />- Automated acquisition:</p> <p>APIs, web scraping, beacons</p>; <p>LECTURE 4:</p> <p>Ask one question on STACK OVERFLOW</p> <p>- Do an exhaustive search</p> <p>- Format correctly (indent code)</p> <p>- Include a reproducible example</p> <p>&nbsp;- Dont be intimidated</p> <p>Ask it and screen shot it and then hand in</p> <p>--------------------------------------------</p> <p>Quality issue</p> <p>Qualitative suggestion of quality</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p>; <p>LECTURE 5:</p> <p>&nbsp;</p> <p>EdSurge <br />print resume and then chat to people <br />make a way in the world, see what the world is like <br />what values can I bring to them. <br /><br />——————<br />Tidying Data <br /><br /><br />“Tidying Data” vs Cleaning Data <br /><br />Long and Wide Format <br /><br />—————————<br />Types of Messiness: <br /><br />Tidy System: <br /><br />Sticking to 2: tidyr &amp; dplyr <br /><br /></p>; <p>LECTURE 7</p> <p>&nbsp;</p> <p>Adaptive Systems:&nbsp;</p> <p>&nbsp;</p> <p>- Any thing that changes due to your personal behaviors</p> <p>Netflix suggestion</p> <p>- Adaptive Engines</p> <p>- Recommender Systems:</p> <p>1. Collaborative Filter: build a model from a user's past <br />behavior</p> <p>&nbsp;</p> <p>2. Content Filter</p> <p>&nbsp;</p> <p>* Dimensionality Reduction:</p> <p>1. Feature Selection: select a subset of dimensions</p> <p>2. Feature Extraction: transform lots of dimension into fewer dimension</p> <p>Avoid Curse of dimensionality:</p> <p>&nbsp;</p> <p>Sparsity: the more we are adding dimensions, the more comparisons we are missing</p> <p>&nbsp;</p> <p>-------------------</p> <p>How to distill features:</p> <p>&nbsp;</p> <p>1. Cluster Analysis</p> <p>2. Principle Component Analysis</p> <p>&nbsp;</p> <p>------------------</p> <p>Cluster Analysis:</p> <p>Grouping Stuff</p> <p>By Variables</p> <p>By People</p> <p>K-mean Cluster:</p> <p>1. Select some random points</p> <p>2. Associate those points with closest other points</p> <p>3. Move the selected points to the mean point in the cluster</p> <p>4. Reassociate</p> <p>Process:</p> <p>&nbsp;</p> <p>1. Describe Data</p> <p>2. Choose Methodology</p> <p>2. Makes notes on the purpose of the method</p> <p>4. Make notes on the limitations of the method</p> <p>5. Research the code</p> <p>6. Apply the codes</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p>; <p>&nbsp;LECTURE NOTE 2</p> <p>&nbsp;--------------------</p> <p><br /><strong>GIT &amp; GITHUB:&nbsp;</strong></p> <p><strong>GIT: </strong></p> <p>Working Directory ADD&gt;&gt;&nbsp; Staging area (R studio),&nbsp; COMMIT &gt;&gt; Local Repository ( a folder) &gt;&gt; PUSH &gt;&gt; Remote Repository</p> <p><strong>GITHUB:&nbsp; in the cloud<br /></strong></p> <p>Local Repository &lt;&lt;&lt; CLONE Remote Repository &lt; FORK/PULL REQUEST &gt;FRIEND's Remote Repository</p> <p>&nbsp;</p> <p>-----------------------------</p> <p>**1 educational goal that you would like to define for yourself</p> <p>&nbsp; - produce a tangible product/project after the course - presentatable to future employer</p> <p>**information you would need to determine if you have met the goal</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p> <p><br />&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PGNXVJFX","journalArticle","2010","Bowers, Alex J.","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis","Practical Assessment, Research & Evaluation","","1531-7714","","","School personnel currently lack an effective method to pattern and visually interpret disaggregated achievement data collected on students as a means to help inform decision making. This study, through the examination of longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188), demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators. Additionally, as a proof-of-concept study, overall schooling outcomes, such as student dropout or taking a college entrance exam, are identified from the data patterns and compared to past methods of dropout identification as one example of the usefulness of the method. Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8. (Contains 5 figures.)","2010-05","2016-09-13 16:23:07","2016-09-13 16:23:07","2014-09-24 19:31:29","","","7","15","","","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students","","","","","","","en","","","","","ERIC","","","<p>The article gives an interesting example of how clustering is used in the educational context and in learning analytics.&nbsp;</p> <p>Using hierarchical cluster analysis for drop out patterns seem to provide additional information about student's behavior that previous methods cannot infer.</p> <p>The clustergram seems to offer a lot of information that could be interpreted, more than my limited knowlege about clustering technique allows. Overall it is cool to see the implementation</p> <p>&nbsp;</p> <p>&nbsp;</p>","","http://eric.ed.gov/?id=EJ933686","","data; data analysis; Decision Making; Dropouts; Elementary School Students; Grades (Scholastic); Identification; MULTIVARIATE analysis; School Districts; Secondary School Students","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QZVUKM4F","journalArticle","2014","Grunspan, Daniel Z.; Wiggins, Benjamin L.; Goodreau, Steven M.","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","CBE-Life Sciences Education","",", 1931-7913","10.1187/cbe.13-08-0162","http://www.lifescied.org/content/13/2/167","Social interactions between students are a major and underexplored part of undergraduate education. Understanding how learning relationships form in undergraduate classrooms, as well as the impacts these relationships have on learning outcomes, can inform educators in unique ways and improve educational reform. Social network analysis (SNA) provides the necessary tool kit for investigating questions involving relational data. We introduce basic concepts in SNA, along with methods for data collection, data processing, and data analysis, using a previously collected example study on an undergraduate biology classroom as a tutorial. We conduct descriptive analyses of the structure of the network of costudying relationships. We explore generative processes that create observed study networks between students and also test for an association between network position and success on exams. We also cover practical issues, such as the unique aspects of human subjects review for network studies. Our aims are to convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data.","2014-06-20","2016-09-13 16:23:08","2016-09-13 16:23:08","2014-08-20 20:21:46","167-178","","2","13","","CBE Life Sci Educ","Understanding Classrooms through Social Network Analysis","","","","","","","en","","","","","www.lifescied.org","","","<p>There is a wealth of knowledge in exploring the social interactions between students in any educational settings. Social network analysis definitely brings a lot of insights to the discussion of better learning.</p> <p>The article is very detailed in explaining what SNA is, what are the methods of analysis and processes from beginning to end involved in order to convince readers that SNA is a hugely beneficial methods to use inside classroom.</p> <p>The article also touched on issues of data management and IRB and consent which is personally very interesting to me since I am an IRB coordinator on a project using state data.</p>","","http://www.lifescied.org/content/13/2/167","Week 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M78WAC4M","blogPost","2014","Young, Jeffrey R.","Why Students Should Own Their Educational Data","The Chronicle of Higher Education Blogs: Wired Campus","","","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","2014-08-21","2016-09-13 16:23:08","2016-09-13 16:23:08","2014-08-23 21:32:22","","","","","","","","","","","","","","","","","","","","","","<p>Why Students Should Own their Data:</p> <p>The article made a point that the market for education is right not not transparent for the student's data is used&nbsp; or hoarded by many different private companies whether for good or bad intentions.</p> <p>Mr Rose's mission is to push for better protection of learner data and greater sense of responsibility of using student's data.</p> <p>However the interview is more towards opening a conversation towards many more issues with learning than the issues with data like the title suggests.</p> <p>&nbsp;</p>","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BKBAATSE","journalArticle","1994","Corbett, Albert T.; Anderson, John R.","Knowledge tracing: Modeling the acquisition of procedural knowledge","User Modeling and User-Adapted Interaction","","0924-1868, 1573-1391","10.1007/BF01099821","http://link.springer.com.ezp-prod1.hul.harvard.edu/article/10.1007/BF01099821","This paper describes an effort to model students' changing knowledge state during skill acquisition. Students in this research are learning to write short programs with the ACT Programming Tutor (APT). APT is constructed around a production rule cognitive model of programming knowledge, called theideal student model. This model allows the tutor to solve exercises along with the student and provide assistance as necessary. As the student works, the tutor also maintains an estimate of the probability that the student has learned each of the rules in the ideal model, in a process calledknowledge tracing. The tutor presents an individualized sequence of exercises to the student based on these probability estimates until the student has ‘mastered’ each rule. The programming tutor, cognitive model and learning and performance assumptions are described. A series of studies is reviewed that examine the empirical validity of knowledge tracing and has led to modifications in the process. Currently the model is quite successful in predicting test performance. Further modifications in the modeling process are discussed that may improve performance levels.","1994-12-01","2016-09-13 16:23:08","2016-09-13 16:23:08","2013-04-21 21:21:19","253-278","","4","4","","User Model User-Adap Inter","Knowledge tracing","","","","","","","en","","","","","link.springer.com.ezp-prod1.hul.harvard.edu","","","<p>This paper provides a successful case study and context for Bayesian knowledge tracing. It is an interesting model and&nbsp; while it was done almost more than 2 decades ago, it would be interesting to see how it is still relevant to today's skill acquisition to improve performance levels.</p>","","","","Education (general); empirical validity; individual differences; intelligent tutoring systems; Learning; Management of Computing and Information Systems; mastery learning; Multimedia Information Systems; procedural knowledge; Psychology, general; student modeling; User Interfaces and Human Computer Interaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CRPMMMRQ","conferencePaper","2012","Siemens, George; Baker, Ryan S. J. d.","Learning Analytics and Educational Data Mining: Towards Communication and Collaboration","Proceedings of the 2Nd International Conference on Learning Analytics and Knowledge","978-1-4503-1111-3","","10.1145/2330601.2330661","http://doi.acm.org/10.1145/2330601.2330661","Growing interest in data and analytics in education, teaching, and learning raises the priority for increased, high-quality research into the models, methods, technologies, and impact of analytics. Two research communities -- Educational Data Mining (EDM) and Learning Analytics and Knowledge (LAK) have developed separately to address this need. This paper argues for increased and formal communication and collaboration between these communities in order to share research, methods, and tools for data mining and analysis in the service of developing both LAK and EDM fields.","2012","2016-09-13 16:23:08","2016-09-13 16:23:08","2015-01-16 03:15:55","252–254","","","","","","Learning Analytics and Educational Data Mining","","","","","ACM","New York, NY, USA","","","","","","ACM Digital Library","","","<p>- 2 research communities - EDM and LAK</p> <p>Similarities:<br />- EDM is methods of exploring unique types of data that comes from educational settings, and using those methods to understand student's behavior<br />- LAK is methods of reporting data about learners and their contexts for optimizing environment and learning</p> <p>Differences: nature, origin, and methodology:<br />- EDM - automated discovery, rooted in tech field, use machine learning, individual <br />- LAK - leveraging human judgement, ed field, text &amp; SNA, hollistic</p> <p>&nbsp;Overall, this paper suggest that both communities should formalize approaches to enact more ties and collaborative research efforts. An open transparent research environment is vital in this new data driven era of education data.</p>","","","","Collaboration; educational data mining; learning analytics and knowledge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X67JJK8A","journalArticle","2008","Baker, Ryan S. J. d; Corbett, Albert T.; Roll, Ido; Koedinger, Kenneth R.","Developing a generalizable detector of when students game the system","User Modeling and User-Adapted Interaction","","0924-1868, 1573-1391","10.1007/s11257-007-9045-6","http://link.springer.com.ezp-prod1.hul.harvard.edu/article/10.1007/s11257-007-9045-6","Some students, when working in interactive learning environments, attempt to “game the system”, attempting to succeed in the environment by exploiting properties of the system rather than by learning the material and trying to use that knowledge to answer correctly. In this paper, we present a system that can accurately detect whether a student is gaming the system, within a Cognitive Tutor mathematics curricula. Our detector also distinguishes between two distinct types of gaming which are associated with different learning outcomes. We explore this detector’s generalizability, and find that it transfers successfully to both new students and new tutor lessons.","2008-08-01","2016-09-13 16:23:08","2016-09-13 16:23:08","2015-01-16 16:33:56","287-314","","3","18","","User Model User-Adap Inter","","","","","","","","en","","","","","link.springer.com.ezp-prod1.hul.harvard.edu","","","<p>Interesting take on the use of learning analytics. For most of the class, we have looked at multiple cases of using data mining methods to improve student's performance. This is a different aspect of the usage of data mining in controlling and preventing students from cheating and gaming the system. This approach definitely shows a more successful and more accurate analysis&nbsp; of student's data. Yet this detector only most successfully applies to interactive learning environments. It is definitely the right question to ask and can easily be implemented right away. </p>","","http://link.springer.com.ezp-prod1.hul.harvard.edu/article/10.1007/s11257-007-9045-6","","Behavior detection; Cognitive tutors; Education (general); Gaming the system; Generalizable models; Interactive learning environments; Latent response models; Machine learning; Management of Computing and Information Systems; Multimedia Information Systems; student modeling; User Interfaces and Human Computer Interaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4DJPF5T5","book","2015","Zheng, Alice","Evaluating Machine Learning Models","","","","","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","Data science today is a lot like the Wild West: there’s endless opportunity and excitement, but also a lot of chaos and confusion. If you’re new to data science and applied machine learning, evaluating a machine-learning model can seem pretty overwhelming...","2015-09","2016-09-13 16:23:08","2016-09-13 16:23:08","2015-12-15 18:26:39","","","","","","","","","","","","O'Reily Media","Sebastopol, CA","","","","","","","","","<p><br />This is incredibly helpful guys for future data scientists. As a newbie, it is helpful for me to understand the ML workflow and the evaluation metrics that are used to evaluate different ML models. The guide is concise enough which helps. </p> <p>&nbsp;</p>","","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8Q7H6QBB","blogPost","2015","Leong, B; Polonetsky, J","Why Opting Out of Student Data Collection Isn’t the Solution","EdSurge","","","","https://www.edsurge.com/news/2015-03-16-why-opting-out-of-student-data-collection-isn-t-the-solution","In every privacy debate across every industry, the same questions arise about the rights of individuals to “opt-out” of their data being collected or used. So it should come as no surprise that the “when” and “how” of parent and student opt-outs of education data collection or use has become a robust","2015-03-16","2016-09-13 16:23:08","2016-09-13 16:23:08","2016-01-16 16:31:25","","","","","","","","","","","","","","","","","","","","","","<p>The article tapped into a deeper understanding of data privacy and how opting out of the data collection for students isn't the solution</p> <p>Since the fields are so new and policy makers and researchers still haven't established a solid data usage habit, there are still many areas and aspects to establish for opting out rights</p>","","https://www.edsurge.com/news/2015-03-16-why-opting-out-of-student-data-collection-isn-t-the-solution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
