"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"2FFEFPH7","journalArticle","2010","Bowers, Alex J.","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis","Practical Assessment, Research & Evaluation","","1531-7714","","","School personnel currently lack an effective method to pattern and visually interpret disaggregated achievement data collected on students as a means to help inform decision making. This study, through the examination of longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188), demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators. Additionally, as a proof-of-concept study, overall schooling outcomes, such as student dropout or taking a college entrance exam, are identified from the data patterns and compared to past methods of dropout identification as one example of the usefulness of the method. Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8. (Contains 5 figures.)","2010-05","2016-09-14 17:32:04","2016-09-14 17:32:04","2014-09-24 19:31:29","","","7","15","","","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students","","","","","","","en","","","","","ERIC","","","<p>- This study, through the examination of longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188), demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators.</p> <p>- Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8.</p> <p>- Thus, the central aim of this study is to adapt hierarchical cluster analysis and heatmaps for use with teacher assigned grades for data driven decision-making.<br />The method will be tested and demonstrated with a small sample of data, and the study will explore what the analysis and visualization method can and cannot do for 3DM in schools. The research question of interest here is that as just one example of the usefulness of the method for 3DM, to what extent do student grades cluster through HCA into patterns that identify which students are most at risk of dropping out of school.</p> <p>- See graphs in the paper.</p> <p>- Hierarchical clustering provides a way of organizing cases based on how similar the values for the list of variables are for each case.</p>","","http://eric.ed.gov/?id=EJ933686","","data; data analysis; Decision Making; Dropouts; Elementary School Students; Grades (Scholastic); Identification; MULTIVARIATE analysis; School Districts; Secondary School Students","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3P3SH79D","bookSection","2013","Desmarais, Michel C.; Naceur, Rhouma","A Matrix Factorization Method for Mapping Items to Skills and for Enhancing Expert-Based Q-Matrices","Artificial Intelligence in Education","978-3-642-39111-8 978-3-642-39112-5","","","http://link.springer.com/chapter/10.1007/978-3-642-39112-5_45","Uncovering the right skills behind question items is a difficult task. It requires a thorough understanding of the subject matter and of the cognitive factors that determine student performance. The skills definition, and the mapping of item to skills, require the involvement of experts. We investigate means to assist experts for this task by using a data driven, matrix factorization approach. The two mappings of items to skills, the expert on one side and the matrix factorization on the other, are compared in terms of discrepancies, and in terms of their performance when used in a linear model of skills assessment and item outcome prediction. Visual analysis shows a relatively similar pattern between the expert and the factorized mappings, although differences arise. The prediction comparison shows the factorization approach performs slightly better than the original expert Q-matrix, giving supporting evidence to the belief that the factorization mapping is valid. Implications for the use of the factorization to design better item to skills mapping are discussed.","2013-07-09","2016-09-14 17:32:08","2016-09-14 17:32:08","2016-09-03 20:44:11","441-450","","","","","","","","","","","Springer Berlin Heidelberg","","en","©2013 Springer-Verlag Berlin Heidelberg","","","","link.springer.com","","","","","https://link.springer.com/chapter/10.1007/978-3-642-39112-5_45","","alternating least squares matrix factorization; Artificial Intelligence (incl. Robotics); Cognitive modeling; Computers and Education; Educational Technology; Information Systems Applications (incl. Internet); latent skills; Pedagogic Psychology; skills assessment; Student models; User Interfaces and Human Computer Interaction","Lane, H. Chad; Yacef, Kalina; Mostow, Jack; Pavlik, Philip","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3WAXECV3","journalArticle","2012","Greller, Wolfgang; Drachsler, Hendrik","Translating Learning into Numbers: A Generic Framework for Learning Analytics","Journal of Educational Technology & Society","","1176-3647","","http://www.jstor.org/stable/jeductechsoci.15.3.42","ABSTRACT With the increase in available educational data, it is expected that Learning Analytics will become a powerful means to inform and support learners, teachers and their institutions in better understanding and predicting personal learning needs and performance. However, the processes and requirements behind the beneficial application of Learning and Knowledge Analytics as well as the consequences for learning and teaching are still far from being understood. In this paper, we explore the key dimensions of Learning Analytics (LA), the critical problem zones, and some potential dangers to the beneficial exploitation of educational data. We propose and discuss a generic design framework that can act as a useful guide for setting up Learning Analytics services in support of educational practice and learner guidance, in quality assurance, curriculum development, and in improving teacher effectiveness and efficiency. Furthermore, the presented article intends to inform about soft barriers and limitations of Learning Analytics. We identify the required skills and competences that make meaningful use of Learning Analytics data possible to overcome gaps in interpretation literacy among educational stakeholders. We also discuss privacy and ethical issues and suggest ways in which these issues can be addressed through policy guidelines and best practice examples.","2012","2016-09-14 17:32:07","2016-09-14 17:32:07","2016-09-03 18:55:41","42-57","","3","15","","Journal of Educational Technology & Society","Translating Learning into Numbers","","","","","","","","","","","","JSTOR","","","<p>Critical dimensions of learning analytics</p> <p>- This necessity motivated us to identify six critical dimensions (soft and hard) of LA, which need to be covered by the design to ensure an appropriate exploitation of LA in an educationally beneficial way.</p> <p>- Soft issues: challenges that depend on assumptions made by humans or society</p> <p>- Hard issues: From the fact-based world of data algorithms.</p> <p>- Six dimensions: Internal limitations, external constraints, stakeholders, Instruments, Objectives and data (see diagram in the paper)</p> <p>&nbsp;&nbsp;&nbsp; - Stakeholders: Data subjects (group of learners), Data clients (tutor)</p> <p>&nbsp;&nbsp;&nbsp; - Objective: Reflection</p> <p>&nbsp;&nbsp;&nbsp; - Data: Protected dataset</p> <p>&nbsp;&nbsp;&nbsp; - Instruments: Pedagogic theory, technology, presentation</p> <p>&nbsp;&nbsp;&nbsp; - External limitations: Conventions (privacy, ethics)</p> <p>&nbsp;&nbsp;&nbsp; - Internal limitations: Required competences (interpretation, critical thinking)</p> <p>&nbsp;</p> <p>- In summary, the proposed framework model in figure 1 above stresses the inherent connections between the six different dimensions and the impact of the analytics process on the end user and the data suppliers. If one of the parameters changes, the outcome and anticipated benefits will change. It is therefore our conviction that only the consideration of all six dimensions in the design process can lead to optimal exploitation of LA. Additionally, substantial work on new ethical guidance, data curation, and ownership needs to happen at universities and in legislation to reduce the risks connected to the application of LA and to protect the data subject, usually the learner.</p> <p>&nbsp;</p>","C:\Users\Magdalena Bennett\Dropbox\PhD Columbia\Fall 2016\Core Methods in EDM\translating learning into numbers.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5TBH7BAD","videoRecording","2015","Georgia Tech","Feature Selection","","","","","https://www.youtube.com/watch?v=8CpRLplmdqE","","2015-02-23","2016-09-14 17:32:07","2016-09-14 17:32:07","2016-01-18 19:18:06","","","","","","","","","","","","Youtube","","","","","","","","","","<p>Feature selection</p> <p>Reasons:</p> <p>- Knowledge discovery (interpretability &amp; insight)</p> <p>- Curse of dimensionality (algorithms) --&gt; amount of data we need grows exponentailly with the number of features we have.</p>","","https://www.youtube.com/watch?v=8CpRLplmdqE","","","","","","","","","","","","","","","Udacity","","","","","","","","3:13","","","","","","","","","","","","","","","","","","","","","","","","",""
"7DJIMDHR","webpage","2014","Groelmund, Garrett","RStudio Cheat Sheets","RStudio","","","","https://www.rstudio.com/resources/cheatsheets/","","2014-08-01","2016-09-14 17:32:07","2016-09-14 17:32:07","2016-01-19 21:17:28","","","","","","","","","","","","","","","","","","","","","","<p>Cheat sheet for Rmarkdown (it doesn't include everything, so it is useful to look elsewhere for something more specific, such as beamer presentations)</p> <p>&nbsp;</p> <p>Cheat sheet for data wrangling (mainly dplyr). Use for social network!</p>","C:\Users\Magdalena Bennett\Downloads\data-wrangling-cheatsheet (1).pdf; ","http://shiny.rstudio.com/articles/rm-cheatsheet.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7S923WA2","conferencePaper","2014","Clow, Doug","Data wranglers: human interpreters to help close the feedback loop","Proceedings of the Fourth International Conference on Learning Analytics And Knowledge","","","","","","2014","2016-09-14 17:32:07","2016-09-14 17:32:07","","49–53","","","","","","","","","","","ACM","","","","","","","","","","<p>- Importance of feedback in LA</p> <p>- This paper describes a programme of human Data Wranglers deployed at the Open University, UK, charged with making sense of a range of data sources related to learning, analysing that data in the light of their understanding of practice in individual<br />faculties/departments, and producing reports that summarise the key points and make actionable recommendations</p> <p>- The Data Wranglers work with four main data sources:</p> <ul> <li>Survey feedback data from students, gathered at the end of their course.</li> <li>Activity data from the VLE/LMS (Moodle).</li> <li>Delivery data about the mode of delivery and structure of courses (e.g. what use each course makes of online forums).</li> <li>Aggregated completion, pass rate and demographic data.</li> </ul> <p>- It is important to note that all the data are available to academics directly, via various dashboards and online facilities. The role of the Data Wrangler is not only to analyse the data, but to increase the familiarity of academics with the data sources, to build learning analytics capacity as part of a Community of Practice.</p> <p>- This paper has presented an account of Data Wranglers. Substantial progress has been made in establishing a Community of Practice in learning analytics, by analysing and presenting learning analytics data to academics who are in a position to take action, and through extensive engagement. Progress has also been made in improving institutional learning about the quality and interpretation of the available data, and how better data can be captured and made available</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABCD2345","webpage","","Center for History and New Media","Zotero Quick Start Guide","","","","","http://zotero.org/support/quick_start_guide","","","2016-09-12 16:17:17","2016-09-12 16:17:17","","","","","","","","","","","","","","","","","","","","","","","<p><strong>Welcome to Zotero!</strong></p><p>View the Quick Start Guide to learn how to begin collecting, managing, citing, and sharing your research sources.</p><p>Thanks for installing Zotero.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BJZ6MF7V","journalArticle","","","","","","","","","","","2016-09-12 16:18:50","2016-09-12 16:18:50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DJ86NQ53","journalArticle","","","","","","","","","","","2016-09-12 16:20:08","2016-09-12 16:20:08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FFPCSQ9W","webpage","2016","Weinersmith, Zach","Saturday Morning Breakfast Cereal","","","","","http://www.smbc-comics.com/index.php?id=3978","","2016-01-05","2016-09-14 17:32:06","2016-09-14 17:32:06","2016-01-18 18:17:09","","","","","","","","","","","","","","","","","","","","","","<p>(Funny joke for sociologist)</p> <p>Correlation =/= causation</p>","","http://www.smbc-comics.com/index.php?id=3978","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
